ui.menu|Μενού
318|Χωρίς συνδρομή η εφαρμογή χρησιμοποιεί τη λειτουργία γρήγορης έκτακτης ανάγκης: η ενεργοποίηση ξεκινά από τα κουμπιά της αρχικής οθόνης ή από τη μόνιμη ειδοποίηση. Το κουμπί Avvia/Start είναι ανενεργό· η φωνή και η αλλαγή ρυθμίσεων είναι διαθέσιμες όσο είναι ενεργή μια γρήγορη έκτακτη ανάγκη.
319|Το Premium ενεργοποιεί την πλήρη χρήση που περιγράφεται στη σύγκριση. Οι όροι και η τιμή αναφέρονται στη σελίδα κάθε εφαρμογής στο Google Play.
321|SOS και Apple Watch περιλαμβάνονται
322|Κουμπί SOS με ένα άγγιγμα
323|Telegram με γεωεντοπισμό
324|Ζωντανή τοποθεσία για 30 λεπτά
325|Συνοδευτική εφαρμογή για Apple Watch
326|Δωρεάν λήψη. Οι λειτουργίες έκτακτης ανάγκης που περιλαμβάνονται παραμένουν δωρεάν.
327|Μία αγορά, περισσότερες λειτουργίες
328|«Hey Siri, Βοήθησέ με» σε 12 γλώσσες
329|SMS, WhatsApp και κλήση στις επαφές
330|Ζωντανή τοποθεσία από 1 λεπτό έως 24 ώρες
331|Εφάπαξ αγορά, χωρίς συνδρομή. Η τιμή αναγράφεται στο App Store.
332|Πλήρης σύγκριση
333|Όλες οι λειτουργίες, Android και iOS.
334|Σύγκριση από την παρουσίαση του έργου. Για το Android είναι σύνοψη της οικογένειας εφαρμογών: δείτε τη <a class="link-arrow" href="prodotti.html">σελίδα κάθε εφαρμογής</a> για γλώσσες, αξεσουάρ και διάρκεια τοποθεσίας. Στο τηλέφωνο μπορείτε να κυλήσετε τον πίνακα οριζόντια.
335|Λειτουργίες ανά πλατφόρμα και έκδοση
336|Λειτουργία
339|SOS στην κύρια σελίδα
340|Όχι¹
341|Ναι
342|Γρήγορα κουμπιά αρχικής οθόνης / ειδοποίησης, ακόμη και με κλειστή εφαρμογή
343|Όχι
344|Φωνή: 4 σταθερές + 3 προσωπικές λέξεις-κλειδιά
345|Ναι²
346|Ενεργοποίηση με Google / Siri
347|Αναγνώριση φωνής εκτός σύνδεσης, στις υποστηριζόμενες γλώσσες
348|Telegram με GPS, διεύθυνση και σύνδεσμο χάρτη
349|Μήνυμα WhatsApp
350|Κλήση στη ρυθμισμένη επαφή
351|Ανάλογα με την εφαρμογή³
352|30 λεπτά
353|1 λεπ. – 24 ώρες
354|Συνοδευτική εφαρμογή Wear OS / Apple Watch
355|Ρολόι χωρίς smartphone
356|Ειδική εφαρμογή Wear OS
357|Γρήγορη πρόσβαση από την πρόσοψη και complications
358|Φωνητικές εντολές στο ρολόι
359|Αλλαγή ρυθμίσεων με την εφαρμογή σε λειτουργία
360|Ενσωματωμένος οδηγός βήμα-βήμα και PDF
361|Χωρίς λογαριασμό, σύνδεση ή ιδιόκτητο cloud
362|¹ Χωρίς συνδρομή το κουμπί Avvia/Start είναι ανενεργό· χρησιμοποιούνται τα κουμπιά γρήγορης έκτακτης ανάγκης.
363|² Στο Android Free, μόνο όσο είναι ενεργή μια γρήγορη έκτακτη ανάγκη.
364|³ Η παρουσίαση αναφέρει έως 24 ώρες στις ενεργοποιημένες εκδόσεις: AI help You από 1 λεπτό έως 24 ώρες, Proteggimi Android έως 30 λεπτά, AIuto SOS watch4help™ έως 60 λεπτά. Οι 12 γλώσσες αφορούν τις πολύγλωσσες εφαρμογές· το Proteggimi Android είναι στα ιταλικά.
365|Ερωτήσεις για κόστος και λειτουργίες
366|no pAIn™ — Πώς λειτουργεί
367|Πώς ενεργοποιούνται οι εφαρμογές no pAIn™, ποιες ενέργειες ξεκινούν, πώς λειτουργεί το watch4help™ και πώς να προετοιμάσετε την πρώτη ρύθμιση.
368|Επιλέξτε πώς θα το ενεργοποιείτε. <span class="hl">Αποφασίστε ποιον θα ειδοποιείτε.</span>
369|Το έργο προσφέρει πολλούς τρόπους ενεργοποίησης. Οι διαθέσιμες λειτουργίες εξαρτώνται από την εφαρμογή, τη συσκευή και τη ρύθμιση.
370|Επιλέξτε την εφαρμογή για τη συσκευή σας, ρυθμίστε τις δύο επαφές έκτακτης ανάγκης και ενεργοποιήστε τις ενέργειες που θέλετε. Αν χρησιμοποιείτε το κουμπί, ολοκληρώστε τη σύζευξη.
371|Οι τρόποι ενεργοποίησης
372|Διαφορετικό περιβάλλον, ανάλογα με τη συσκευή σας.
373|Φωνή
374|Χωρίς να αγγίξετε το τηλέφωνο
375|Στο Android: 4 σταθερές και 3 προσωπικές λέξεις-κλειδιά, που αναγνωρίζονται στη συσκευή ακόμη και στο παρασκήνιο ή με σβηστή οθόνη, με το τηλέφωνο λίγα μέτρα μακριά. Στο iOS Premium: «Hey Siri, Βοήθησέ με».
376|Άγγιγμα
377|Κουμπί SOS, αρχική οθόνη, ειδοποίηση
378|Χρησιμοποιήστε το κουμπί SOS της έκδοσής σας. Στο Android τα γρήγορα κουμπιά της αρχικής οθόνης και η μόνιμη ειδοποίηση λειτουργούν και με κλειστή εφαρμογή.
379|Από τον καρπό
380|Χρησιμοποιήστε τη φωνή ή το κουμπί της συμβατής εφαρμογής. Ξεχωρίστε τη συνοδευτική εφαρμογή του τηλεφώνου από την αυτόνομη εφαρμογή για Wear OS.
381|Από την τσέπη
382|Κρατήστε πατημένο για μερικά δευτερόλεπτα το κουμπί που είναι συνδεδεμένο με το τηλέφωνο: η εφαρμογή εκτελεί τις ορισμένες ενέργειες. <a class="link-arrow" href="button4help.html">Μάθετε περισσότερα →</a>
383|Μετά την ενεργοποίηση
384|Οι ενέργειες που επιλέξατε.
386|Συντεταγμένες GPS, διεύθυνση και σύνδεσμος χάρτη στα μηνύματα προς τις επαφές. Στο iOS απαιτεί Premium και τη Συντόμευση Apple.
387|όλες οι εφαρμογές
388|Αποστολή τοποθεσίας και ζωντανή ενημέρωση: 30 λεπτά στο iOS Free, ρυθμιζόμενη διάρκεια έως 24 ώρες στις ενεργοποιημένες εκδόσεις.
389|Κλήσεις
390|Κλήσεις στους αριθμούς που ορίσατε. Στο iOS Premium ξεκινούν μέσω της Συντόμευσης Apple «Proteggimi».
392|Διαθέσιμο στο iOS Premium μέσω της Συντόμευσης Apple. Δεν προβλέπεται στις εκδόσεις Android.
393|<b>Σημαντικό</b> Οι εφαρμογές ειδοποιούν τις ρυθμισμένες επαφές. Δεν επικοινωνούν με τις δημόσιες υπηρεσίες έκτακτης ανάγκης και δεν τις αντικαθιστούν: μόλις λάβουν τον συναγερμό, οι επαφές σας μπορούν να καλέσουν την αστυνομία με όλες τις πληροφορίες και να έρθουν να σας βοηθήσουν.
394|watch4help™ · SOS στον καρπό
395|Συνδεδεμένο με το τηλέφωνο ή αυτόνομο.
396|Δύο λειτουργίες που πρέπει να ξεχωρίζετε
397|Τα Proteggimi και AI help You έχουν συνοδευτική εφαρμογή για το συζευγμένο ρολόι. Το AIuto SOS watch4help™, αντίθετα, είναι η αυτόνομη λύση, που χρησιμοποιείται χωρίς smartphone με σύνδεση κατάλληλη για τα κανάλια που επιλέξατε.
398|Ένα άγγιγμα, με συζευγμένο iPhone
399|Η συνοδευτική εφαρμογή μπορεί να στείλει Telegram και τοποθεσία ακόμη και με κλειδωμένο iPhone. Για να στείλει και SMS, WhatsApp και κλήση χρειάζονται Premium, ρυθμισμένη Συντόμευση και η εφαρμογή iPhone σε πρώτο πλάνο.
400|Στιγμιότυπα των εφαρμογών από την παρουσίαση του έργου.
401|Η πρώτη ρύθμιση
402|Προετοιμάστε την από πριν. Δοκιμάστε τη μαζί.
403|Η σωστή ρύθμιση είναι μέρος της λειτουργίας. Ακολουθείτε πάντα το εγχειρίδιο της εφαρμογής σας.
404|Επιλέξτε ποιον θα ειδοποιείτε
405|Αποδεχτείτε τους όρους στην εφαρμογή, εισαγάγετε τους αριθμούς τηλεφώνου και τα chat ID του Telegram. Συμφωνήστε με τις επαφές πώς θα χειριστούν ένα αίτημα.
406|Ενεργοποιήστε ό,τι χρειάζεται
407|Επιλέξτε κανάλια αποστολής, προσωπικές λέξεις-κλειδιά και τις απαραίτητες άδειες. Στο iOS ρυθμίστε τη Συντόμευση «Proteggimi» για τις λειτουργίες Premium.
408|Ελέγξτε τη συσκευή
409|Ελέγξτε μπαταρία, σύνδεση, δραστηριότητα στο παρασκήνιο και σύζευξη αξεσουάρ.
410|Κάντε μια συμφωνημένη δοκιμή
411|Ενημερώστε πρώτα τις επαφές σας, κάντε τη δοκιμή και επιβεβαιώστε ότι έλαβαν το μήνυμα και την τοποθεσία.
412|Σύνδεση και απόρρητο: τι πρέπει να ξέρετε →
413|no pAIn™ — Τεχνολογία και έρευνα
414|Η τεχνολογία και οι επιστημονικές δημοσιεύσεις του έργου no pAIn™ του Καθ. Μηχ. Agostino Giorgio, Politecnico di Bari.
415|Από την έρευνα <span class="hl">στο αίτημα βοήθειας.</span>
416|Το no pAIn™ σημαίνει <em>never oppressed protected by Artificial Intelligence Non violence system</em>. Το έργο του Καθ. Μηχ. Agostino Giorgio, διδάσκοντα στο Politecnico di Bari, εφαρμόζει τεχνητή νοημοσύνη, αναγνώριση φωνής και γεωεντοπισμό στο αίτημα βοήθειας προς πρόσωπα εμπιστοσύνης.
417|Αρχιτεκτονική
418|Από τη συσκευή σας στις επαφές σας
419|Το έργο περιγράφει μια αρχιτεκτονική χωρίς λογαριασμό, σύνδεση ή ιδιόκτητο cloud. Ο προγραμματιστής δηλώνει ότι δεν συλλέγει προσωπικά δεδομένα· ρυθμίσεις και επαφές παραμένουν στη συσκευή. Για την παράδοση των ειδοποιήσεων και τον εντοπισμό της διεύθυνσης χρησιμοποιούνται ωστόσο οι εξωτερικές υπηρεσίες που προβλέπει η εφαρμογή.
420|Αναγνώριση φωνής στη συσκευή
421|Στις εκδόσεις Android και στις ενεργοποιημένες γλώσσες, η αναγνώριση λέξεων-κλειδιών λειτουργεί και εκτός σύνδεσης. Η αποστολή των ειδοποιήσεων, αντίθετα, απαιτεί τις συνδέσεις που χρειάζεται το επιλεγμένο κανάλι: δεδομένα κινητής, SMS ή τηλεφωνία.
422|Αξιοπιστία
423|Συνέχεια και ανάκτηση
424|Η παρουσίαση περιγράφει επαναποστολή των ειδοποιήσεων όταν επανέρχεται το δίκτυο, συνέχιση της ζωντανής τοποθεσίας μετά από διακοπές και καθοδηγούμενη επανενεργοποίηση μετά από επανεκκινήσεις ή ενημερώσεις, με δοκιμές σε πραγματικά smartphone και ρολόγια. Η πραγματική λειτουργία εξαρτάται από έκδοση, άδειες, δίκτυο και συσκευή.
425|Δημοσιεύσεις
426|Δημοσιεύτηκε σε επιστημονικό περιοδικό.
427|Η συσκευή και η εφαρμογή περιγράφονται σε δύο άρθρα ανοιχτής πρόσβασης του διεθνούς περιοδικού <em>Electronics</em> (MDPI).
430|Μάθετε περισσότερα για το έργο
431|Η πλήρης παρουσίαση.
432|Λειτουργία, εκδόσεις, στιγμιότυπα και επιστημονικές αναφορές. PDF στα ιταλικά, 23 σελίδες.
433|Άνοιγμα της παρουσίασης PDF <span class="arr">↗</span>
434|Διαφημιστικό υλικό του έργου
435|Αφίσα του έργου no pAIn του Agostino Giorgio, Politecnico di Bari: digital4help, ψηφιακή προστασία, μια νέα εποχή για την προστασία των γυναικών
436|no pAIn™ — Συνεργασία
437|Φέρτε το no pAIn™ στον οργανισμό σας: δημόσιοι φορείς, σύλλογοι, εταιρείες και χορηγοί.
438|Φέρτε το no pAIn™ <span class="hl">στον οργανισμό σας.</span>
439|Η διάθεση ενός εργαλείου είναι το πρώτο βήμα. Το να γίνει γνωστό, να εξηγηθεί η χρήση του και να ενταχθεί σε ένα δίκτυο υποστήριξης είναι εξίσου σημαντικό.
440|Ζητήστε επίδειξη <span class="arr">↗</span>
441|Δημόσιοι φορείς
442|Τοπικές πρωτοβουλίες και πιλοτικά έργα
443|Εξετάζουμε τοπικές πρωτοβουλίες και πιλοτικά έργα, ξεκινώντας από μια επίδειξη και κοινούς στόχους.
444|Σύλλογοι
445|Δίπλα σε όσους γνωρίζουν τις ανάγκες
446|Ένας διάλογος με όσους εργάζονται καθημερινά με ανθρώπους, για να κατανοήσουμε τη χρησιμότητα, τους τρόπους χρήσης και τα όρια του εργαλείου.
447|Εταιρείες και χορηγοί
448|Ευαισθητοποίηση και υποστήριξη
449|Εξετάζουμε προτάσεις για ομάδες χρηστών, δράσεις ευαισθητοποίησης και υποστήριξη τοπικών έργων.
450|Τι προσφέρουμε
451|Μια τεχνολογία που γεννήθηκε στο πανεπιστήμιο, έτοιμη για χρήση.
452|Δωρεάν εφαρμογές για Android, iPhone και έξυπνα ρολόγια, ένα κουμπί που μπορεί να αγοράσει οποιοσδήποτε, χωρίς λογαριασμό και χωρίς cloud προς διαχείριση. Και ένα έργο που περιγράφεται σε επιστημονικές δημοσιεύσεις.
453|Μια επίδειξη είναι ο καλύτερος τρόπος για να ξεκινήσουμε <span class="arr">↗</span>
454|Παρουσίαση PDF <span class="arr">↗</span>
455|Αφίσα: Proteggimi (no pAIn), η διαφορετική και έξυπνη εφαρμογή. Άμεση βοήθεια ακόμη και χωρίς να αγγίξετε το smartphone.
456|no pAIn™ — Συχνές ερωτήσεις
457|Σαφείς απαντήσεις για τις εφαρμογές no pAIn™, το button4help™, τη σύνδεση, το απόρρητο και το κόστος.
458|Απλές ερωτήσεις. <span class="hl">Σαφείς απαντήσεις.</span>
459|Πριν επιλέξετε, γνωρίστε τη λειτουργία και τους όρους χρήσης.
460|Γιατί να μην καλέσω απευθείας το 112;
461|Το 112 παραμένει απαραίτητο και, αν μπορείτε, καλέστε το. Στον κίνδυνο όμως συχνά δεν μπορείτε να μιλήσετε με χειριστή, να εξηγήσετε την κατάσταση και να πείτε πού βρίσκεστε. Γι’ αυτό ακριβώς υπάρχουν οι εφαρμογές no pAIn™: με μια λέξη ή ένα διακριτικό άγγιγμα ειδοποιούν δύο πρόσωπα εμπιστοσύνης με την τοποθεσία σας, και αυτά θα καλέσουν την αστυνομία.
462|Ποιος λαμβάνει το αίτημα βοήθειας;
463|Οι δύο επαφές έκτακτης ανάγκης που ορίσατε στην εφαρμογή, συγγενείς ή φίλοι. Ανάλογα με την εφαρμογή μπορείτε να ενεργοποιήσετε SMS, WhatsApp (iPhone), Telegram και κλήσεις. Οι εφαρμογές δεν επικοινωνούν με τις δημόσιες υπηρεσίες έκτακτης ανάγκης.
464|Μπορώ να τις χρησιμοποιήσω με iPhone;
465|Ναι: το no pAIn™ (Proteggimi) διατίθεται στο App Store, σε 12 γλώσσες και με συνοδευτική εφαρμογή για Apple Watch. Η δωρεάν έκδοση περιλαμβάνει SOS και Telegram· το Premium προσθέτει Siri, SMS, WhatsApp και κλήσεις μέσω Συντομεύσεων. <a href="versioni.html">Δείτε τη σύγκριση</a>.
466|Πόσο κοστίζουν;
467|Στο iOS η λήψη και οι λειτουργίες Free είναι δωρεάν· το Premium απαιτεί εφάπαξ αγορά, χωρίς συνδρομή. Στο Android τα κουμπιά γρήγορης έκτακτης ανάγκης παραμένουν δωρεάν, με τους περιορισμούς που φαίνονται στη <a href="versioni.html">σύγκριση</a>. Δείτε στα καταστήματα τις τιμές των εφαρμογών.
468|Η τοποθεσία μένει ορατή 24 ώρες σε κάθε εφαρμογή;
469|Η διάρκεια εξαρτάται από την εφαρμογή και την έκδοση. Στο iOS Free είναι 30 λεπτά· στο iOS Premium από 1 λεπτό έως 24 ώρες. Το AI help You φτάνει έως 24 ώρες· τα Proteggimi Android και AIuto SOS watch4help™ αναφέρουν 30 και 60 λεπτά αντίστοιχα. Ελέγξτε τις επιλογές της εγκατεστημένης εφαρμογής.
470|Πρέπει το ρολόι να είναι πάντα κοντά στο τηλέφωνο;
471|Στο Wear OS μπορείτε να επιλέξετε ανάμεσα στη συνοδευτική εφαρμογή του τηλεφώνου και στο αυτόνομο AIuto SOS watch4help™, που χρησιμοποιεί τη σύνδεση του ρολογιού. Η συνοδευτική εφαρμογή για Apple Watch λειτουργεί με το συζευγμένο iPhone: Telegram και τοποθεσία μπορούν να σταλούν ακόμη και με κλειδωμένο iPhone· για τις άλλες ενέργειες Premium η εφαρμογή iPhone πρέπει να είναι σε πρώτο πλάνο. Μια ειδική εφαρμογή AIutoSOS για Apple Watch είναι προγραμματισμένη.
472|Λειτουργεί το κουμπί χωρίς smartphone;
473|Όχι. Το button4help™ χειρίζεται μια εφαρμογή στο συζευγμένο smartphone: το τηλέφωνο πρέπει να είναι ανοιχτό και προσβάσιμο μέσω Bluetooth. Αν χρειάζεστε λύση χωρίς τηλέφωνο, υπάρχει η αυτόνομη εφαρμογή <a href="prodotti.html#aiuto-sos">AIuto SOS watch4help™</a> για Wear OS, της οποίας οι λειτουργίες εξαρτώνται από τη συνδεσιμότητα του ρολογιού.
474|Σε τι διαφέρει από ένα AirTag ή μια συσκευή εντοπισμού;
475|Οι συσκευές εντοπισμού GPS ή Bluetooth χρησιμεύουν για την εύρεση αντικειμένων και ζώων μέσω του δικτύου AirTag της Apple ή εκείνου του Android. Το button4help™ δεν εντοπίζεται: είναι ένα κουμπί που, όταν πατηθεί για μερικά δευτερόλεπτα, ενεργοποιεί την έκτακτη ανάγκη στην εφαρμογή. Περιέχει μόνο μια μονάδα Bluetooth Low Energy και μια μπαταρία κουμπί, γι’ αυτό είναι τόσο μικρό. Διαφέρει επίσης από τα κλασικά κουμπιά SOS για ηλικιωμένους.
476|Πού το αγοράζω και με ποιες εφαρμογές λειτουργεί;
477|Πωλείται στο <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a> από τρίτο πωλητή: το no pAIn™ δεν το πουλά. Λειτουργεί με το AI help You στο Android και με το no pAIn™ στο iPhone. Αν έχετε αμφιβολίες για τη συμβατότητα με το τηλέφωνό σας, <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">γράψτε στον σχεδιαστή</a>.
478|Οι φωτογραφίες του κουμπιού δείχνουν την τρέχουσα συσκευή. Οι διαφημιστικές εικόνες με μενταγιόν καρδιάς ή άλλα κοσμήματα δείχνουν σχεδιαστικές δυνατότητες: η διαθεσιμότητα και τα χαρακτηριστικά αυτών των αξεσουάρ πρέπει να επιβεβαιωθούν με τον σχεδιαστή.
479|Σύνδεση και απόρρητο
480|Σημαίνει η «τεχνητή νοημοσύνη εκτός σύνδεσης» ότι δεν χρειάζεται σύνδεση;
481|Η τοπική αναγνώριση λέξεων-κλειδιών δεν στέλνει τον ήχο σε υπηρεσία cloud. Η αποστολή των ειδοποιήσεων είναι ξεχωριστό βήμα: το Telegram και το WhatsApp χρειάζονται internet· τα SMS και οι κλήσεις εξαρτώνται από το δίκτυο και το πρόγραμμα του παρόχου. Πρέπει επίσης να υπάρχει σύνδεση ανάμεσα στο αξεσουάρ και το τηλέφωνο.
482|Καταγράφονται οι συνομιλίες;
483|Ο προγραμματιστής δηλώνει ότι το μικρόφωνο χρησιμεύει στην τοπική αναγνώριση λέξεων-κλειδιών, χωρίς καταγραφή ήχου, και ότι επαφές και ρυθμίσεις παραμένουν στη συσκευή. Οι ειδοποιήσεις χρησιμοποιούν ωστόσο εξωτερικές υπηρεσίες, όπως παρόχους τηλεφωνίας και το Telegram, με τις δικές τους πολιτικές απορρήτου. Δείτε την <a href="https://poliba.wixsite.com/no_pain_privacy" target="_blank" rel="noopener">πολιτική απορρήτου κάθε εφαρμογής</a>.
484|Χρειάζεται να δημιουργήσω λογαριασμό;
485|Όχι. Οι εφαρμογές δεν απαιτούν λογαριασμό, σύνδεση ή ιδιόκτητο cloud: ρυθμίσεις και επαφές παραμένουν στο τηλέφωνό σας.

486|Το έργο με μια ματιά
487|Η τεχνητή νοημοσύνη ενάντια στην έμφυλη βία.
488|Αυτή η αφίσα συνοψίζει το έργο no pAIn™: τεχνητή νοημοσύνη στην υπηρεσία της πρόληψης, διακριτικά ψηφιακά εργαλεία που σας προστατεύουν όπου κι αν βρίσκεστε και μια εφαρμογή για κάθε συσκευή, με συνοδευτικές εφαρμογές για έξυπνα ρολόγια.
489|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">AIuto SOS — watch4help™ ↗</a> για ρολόγια Wear OS
490|<a class="link-arrow" href="https://apps.apple.com/it/app/no-pain/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> για iPhone, σε 12 γλώσσες
491|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.nopain" target="_blank" rel="noopener">Proteggimi ↗</a> για Android, στα ιταλικά
492|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.helpyou" target="_blank" rel="noopener">AI help You ↗</a> για Android, σε 12 γλώσσες
493|Αγγίξτε την αφίσα για μεγέθυνση. Για να κατεβάσετε τις εφαρμογές, χρησιμοποιήστε τους παραπάνω συνδέσμους.
494|<strong>Protect Your Freedom: AI Against Gender Violence</strong>Η αφίσα του έργου, στα αγγλικά.
495|Αφίσα του έργου no pAIn: Protect Your Freedom, AI Against Gender Violence. Παρουσιάζει τις εφαρμογές AIuto SOS για ρολόγια, no pAIn για iPhone, Proteggimi και AI help You για Android.
496|<strong>digital4help™: Digital protection against gender-based violence</strong>Η αφίσα του έργου, στα αγγλικά.
497|Αφίσα digital4help: Digital protection against gender-based violence. A new era has just begun. Μια ασπίδα με γυναικεία φιγούρα στο κέντρο φωτεινών κυκλωμάτων, πάνω από ένα smartphone με την εφαρμογή no pAIn και ένα έξυπνο ρολόι με το σήμα του χεριού για βοήθεια· γύρω οι λέξεις IA Offline, Safe Zone, No Trace, SOS Wearable.
498|Βίντεο επίδειξης
499|Το Proteggimi σε δράση.
500|Το τηλέφωνο είναι στο πάτωμα, μακριά από τα χέρια, κι όμως τα μηνύματα βοήθειας φεύγουν. Οι φίλοι λαμβάνουν τον συναγερμό με την τοποθεσία: ένας καλεί την αστυνομία, που φτάνει εγκαίρως.
501|Σκηνές μυθοπλασίας, για λόγους επίδειξης. Το βίντεο έχει ήχο.
502|Βίντεο
503|<strong>Ζητήστε βοήθεια χωρίς να χρειάζεται να μιλήσετε</strong>Από τη στιγμή του κινδύνου μέχρι την άφιξη της βοήθειας, σε 37 δευτερόλεπτα.
504|<strong>SOS από τον καρπό, ακόμη και με σβηστή οθόνη</strong>Ένα άγγιγμα στο κουμπί INVIO (αποστολή) του ρολογιού ή μια φωνητική εντολή χωρίς να αγγίξετε την οθόνη: οι φίλοι λαμβάνουν τον συναγερμό, καλούν βοήθεια και η βοήθεια φτάνει. Κείμενα του βίντεο στα ιταλικά· σκηνές μυθοπλασίας, για λόγους επίδειξης.
505|<strong>Ένα πάτημα, η βοήθεια φτάνει εγκαίρως</strong>Το κουμπί ενεργοποιεί το AI help You: η ζωντανή τοποθεσία φτάνει σε μια φίλη, που καλεί την αστυνομία. Κείμενα του βίντεο στα αγγλικά.
506|<strong>Στο αυτοκίνητο, όταν είναι αδύνατο να πιάσετε το τηλέφωνο</strong>Δίπλα σε έναν επιθετικό άνδρα, κάθε κίνηση προς το smartphone θα γινόταν αντιληπτή: αυτή είναι η στιγμή που ένα διακριτικό πάτημα στο button4help™ στέλνει το αίτημα βοήθειας. Σκηνή μυθοπλασίας, για λόγους επίδειξης.
507|Πολιτική απορρήτου <span class="arr">↗</span>
508|Στιγμιότυπα οθόνης
509|Πώς είναι η εφαρμογή.
510|Αφού αποδεχτείτε τους όρους χρήσης, στις ρυθμίσεις επιλέγετε τις ενέργειες έκτακτης ανάγκης και εισάγετε αριθμούς τηλεφώνου, chat ID του Telegram και μυστικές λέξεις-κλειδιά. Η κύρια σελίδα δείχνει την κατάσταση της εφαρμογής και τις ενεργές λέξεις-κλειδιά.
511|<strong>Η κύρια σελίδα</strong>Κουμπιά Έναρξη και Διακοπή, χειροκίνητο αίτημα βοήθειας, ενεργές λέξεις-κλειδιά και υπηρεσία στο παρασκήνιο.
512|<strong>Οι ενέργειες έκτακτης ανάγκης</strong>Telegram, SMS και κλήσεις, με τα chat ID του Telegram και τους αριθμούς των επαφών.
513|<strong>Οι προσωπικές λέξεις-κλειδιά</strong>Έως 3 δικές σας μυστικές λέξεις, επιπλέον των 4 προκαθορισμένων.
514|Πώς είναι η εφαρμογή για iPhone.
515|Στην κύρια σελίδα υπάρχει το μεγάλο κουμπί ΕΚΤΑΚΤΗ ΑΝΑΓΚΗ. Στη ρύθμιση εισάγετε τα chat ID του Telegram και τους αριθμούς έκτακτης ανάγκης, επιλέγετε τις ενέργειες που θα σταλούν και κάνετε μια αρχική δοκιμή για να βεβαιωθείτε ότι όλα λειτουργούν.
516|<strong>Η κύρια σελίδα</strong>Το κουμπί ΕΚΤΑΚΤΗ ΑΝΑΓΚΗ και η υπενθύμιση της φωνητικής εντολής «Hey Siri, Βοήθησέ με».
517|<strong>Η ρύθμιση</strong>Επαφές, ενέργειες έκτακτης ανάγκης, δοκιμή της εφαρμογής και σύνοψη πριν από την αποθήκευση.
518|<strong>SOS από την πρόσοψη</strong>Το γρήγορο κουμπί SOS στην πρόσοψη ξεκινά την έκτακτη ανάγκη με ένα άγγιγμα.
519|<strong>watch4help™</strong>Η φορητή τεχνολογία κατά της βίας του έργου no pAIn™.
520|Έτοιμη
521|Σε ακρόαση
522|Ρυθμίσεις
523|Κύρια σελίδα του Proteggimi: κατάσταση Έτοιμο, κουμπιά Έναρξη και Διακοπή, κουμπί no pAIn αίτημα βοήθειας, ενεργές λέξεις-κλειδιά και υπηρεσία στο παρασκήνιο.
524|Ρυθμίσεις του Proteggimi: ενέργειες έκτακτης ανάγκης (μηνύματα Telegram, SMS, κλήσεις), chat ID του Telegram και αριθμοί έκτακτης ανάγκης.
525|Ρυθμίσεις του Proteggimi: προκαθορισμένες λέξεις-κλειδιά και τρεις προσαρμοσμένες, με σύνοψη των ενεργειών και το κουμπί Αποθήκευση ρύθμισης.
526|Κύρια σελίδα του no pAIn για iPhone: κατάσταση Έτοιμο, κόκκινο κουμπί ΕΚΤΑΚΤΗ ΑΝΑΓΚΗ για αίτημα βοήθειας και υπενθύμιση της φωνητικής εντολής «Hey Siri, Βοήθησέ με».
527|Ρύθμιση του no pAIn για iPhone: chat ID του Telegram, αριθμοί έκτακτης ανάγκης, ενέργειες (Telegram, SMS, WhatsApp, κλήση), κουμπί Δοκιμή της εφαρμογής και σύνοψη.
528|Πρόσοψη έξυπνου ρολογιού Wear OS με ημερομηνία, ώρα και το γρήγορο κουμπί SOS κάτω.
529|Λογότυπο WATCH4HELP: ένα έξυπνο ρολόι με το σήμα του χεριού για βοήθεια και τη φράση Φορητή τεχνολογία κατά της βίας, no pAIn project engineering.
530|AI help App έτοιμη: πράσινο κουμπί START και κουμπί για χειροκίνητο αίτημα βοήθειας.
531|AI help App σε ακρόαση λέξεων-κλειδιών: κόκκινο κουμπί STOP.
532|Ρυθμίσεις του AI help App: ενέργειες Telegram, SMS και κλήσεις, με το chat ID του Telegram.
533|Επιλογή γλώσσας στο AI help App: ιταλικά, αγγλικά, γαλλικά, γερμανικά, ισπανικά, τουρκικά, ελληνικά, πορτογαλικά, ρουμανικά, πολωνικά, ολλανδικά, σουηδικά.
534|<strong>Όχι συσκευή εντοπισμού GPS: ένα έξυπνο κουμπί έκτακτης ανάγκης</strong>Από την ανάρτηση του έργου στο Instagram. Αφίσα στα αγγλικά.
535|<strong>Η σύζευξη στην εφαρμογή</strong>Στο AI help You το κουμπί εμφανίζεται στις συνδεδεμένες συσκευές, με το όνομα AIhelpButton, δίπλα στο έξυπνο ρολόι.
