ui.menu|Menú
469|La duración depende de la app y de la versión. En iOS Free es de 30 minutos; en iOS Premium va de 1 minuto a 24 horas. AI help You llega hasta 24 horas; Proteggimi Android y AIuto SOS watch4help™ indican 30 y 60 minutos respectivamente. Revisa las opciones de la app instalada.
470|¿El smartwatch tiene que estar siempre cerca del teléfono?
471|En Wear OS puedes elegir entre la app complementaria del teléfono y AIuto SOS watch4help™, autónoma, que usa la conexión del reloj. La app complementaria para Apple Watch funciona con el iPhone vinculado: Telegram y la ubicación pueden enviarse incluso con el iPhone bloqueado; para las demás acciones Premium la app del iPhone debe estar en primer plano. Está prevista una app AIutoSOS dedicada al Apple Watch.
472|¿El botón funciona sin smartphone?
473|No. button4help™ controla una app del smartphone vinculado: el teléfono debe estar encendido y accesible por Bluetooth. Si necesitas una solución sin teléfono, existe la app autónoma <a href="prodotti.html#aiuto-sos">AIuto SOS watch4help™</a> para Wear OS, cuyas funciones dependen de la conectividad del reloj.
474|¿En qué se diferencia de un AirTag o de un localizador?
475|Los localizadores GPS o Bluetooth sirven para encontrar objetos y mascotas mediante la red AirTag de Apple o la de Android. button4help™ no se puede localizar: es un botón que, pulsado un par de segundos, activa la emergencia en la app. Solo contiene un módulo Bluetooth Low Energy y una pila de botón, por eso es tan pequeño. También es distinto de los clásicos botones SOS para personas mayores.
476|¿Dónde lo compro y con qué apps funciona?
477|Se compra en <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a>, a un vendedor externo: no pAIn™ no lo vende. Funciona con AI help You en Android y con no pAIn™ en iPhone. Si tienes dudas sobre la compatibilidad con tu teléfono, <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">escribe al diseñador</a>.
478|Las fotos del botón muestran el dispositivo actual. Las imágenes promocionales con colgantes de corazón u otras joyas ilustran posibilidades de diseño: la disponibilidad y las características de estos accesorios deben confirmarse con el diseñador.
479|Conexión y privacidad
480|¿“IA sin conexión” significa que no hace falta conexión?
481|El reconocimiento local de las palabras clave no envía el audio a un servicio en la nube. El envío de las alertas es un paso distinto: Telegram y WhatsApp requieren internet; los SMS y las llamadas dependen de la red y de la tarifa del operador. También debe estar disponible la conexión entre el accesorio y el teléfono.
482|¿Se graban las conversaciones?
483|El desarrollador declara que el micrófono sirve para el reconocimiento local de las palabras clave, sin grabar el audio, y que los contactos y los ajustes permanecen en el dispositivo. Aun así, las alertas usan servicios externos, como operadores telefónicos y Telegram, con sus propias políticas de privacidad. Consulta la <a href="https://poliba.wixsite.com/no_pain_privacy" target="_blank" rel="noopener">política de privacidad de cada app</a>.
484|¿Hay que crear una cuenta?
485|No. Las apps no requieren cuenta, inicio de sesión ni nube propia: los ajustes y los contactos permanecen en tu teléfono.

486|El proyecto de un vistazo
487|La inteligencia artificial contra la violencia de género.
488|Este cartel resume el proyecto no pAIn™: la inteligencia artificial al servicio de la prevención, herramientas digitales discretas que te protegen estés donde estés y una app para cada dispositivo, con apps complementarias para smartwatch.
489|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">AIuto SOS — watch4help™ ↗</a> para smartwatches Wear OS
490|<a class="link-arrow" href="https://apps.apple.com/it/app/no-pain/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> para iPhone, en 12 idiomas
491|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.nopain" target="_blank" rel="noopener">Proteggimi ↗</a> para Android, en italiano
492|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.helpyou" target="_blank" rel="noopener">AI help You ↗</a> para Android, en 12 idiomas
493|Toca el cartel para ampliarlo. Para descargar las apps, usa los enlaces de arriba.
494|<strong>Protect Your Freedom: AI Against Gender Violence</strong>El cartel del proyecto, en inglés.
495|Cartel del proyecto no pAIn: Protect Your Freedom, AI Against Gender Violence. Presenta las apps AIuto SOS para smartwatch, no pAIn para iPhone, Proteggimi y AI help You para Android.
496|<strong>digital4help™: Digital protection against gender-based violence</strong>El cartel del proyecto, en inglés.
497|Cartel digital4help: Digital protection against gender-based violence. A new era has just begun. Un escudo con una figura femenina en el centro de circuitos luminosos, sobre un smartphone con la app no pAIn y un smartwatch con la señal de la mano para pedir ayuda; alrededor, las palabras IA Offline, Safe Zone, No Trace, SOS Wearable.
498|Vídeo de demostración
499|Proteggimi en acción.
500|El teléfono está en el suelo, fuera de su alcance, y aun así los mensajes de ayuda salen. Los amigos reciben la alarma con la ubicación: uno llama a la policía, que llega a tiempo.
501|Escenas de ficción, con fines demostrativos. El vídeo tiene sonido.
502|Vídeo
503|<strong>Pedir ayuda sin tener que hablar</strong>De la situación de peligro a la llegada de la ayuda, en 37 segundos.
504|<strong>SOS desde la muñeca, incluso con la esfera apagada</strong>Un toque en el botón INVIO (enviar) del reloj, o un comando de voz sin tocar la esfera: los amigos reciben la alarma, piden ayuda y la ayuda llega. Textos del vídeo en italiano; escenas de ficción, con fines demostrativos.
505|<strong>Una pulsación, la ayuda llega a tiempo</strong>El botón activa AI help You: la ubicación en tiempo real llega a una amiga, que llama a la policía. Textos del vídeo en inglés.
506|<strong>En el coche, cuando coger el teléfono es imposible</strong>Junto a un hombre agresivo, cualquier gesto hacia el smartphone se notaría: es el momento en que una pulsación discreta en button4help™ envía la petición de ayuda. Escena de ficción, con fines demostrativos.
507|Política de privacidad <span class="arr">↗</span>
508|Capturas de pantalla
509|Cómo es la app.
510|Tras aceptar las condiciones de uso, en los ajustes eliges las acciones de emergencia e introduces números de teléfono, chat ID de Telegram y palabras clave secretas. La pantalla principal muestra el estado de la app y las palabras clave activas.
511|<strong>La pantalla principal</strong>Botones Iniciar y Detener, petición de ayuda manual, palabras clave activas y servicio en segundo plano.
512|<strong>Las acciones de emergencia</strong>Telegram, SMS y llamadas, con los chat ID de Telegram y los números de los contactos.
513|<strong>Las palabras clave personales</strong>Hasta 3 palabras secretas tuyas, además de las 4 predefinidas.
514|Cómo es la app para iPhone.
515|La pantalla principal tiene el gran botón EMERGENCIA. En la configuración introduces los chat ID de Telegram y los números de emergencia, eliges las acciones que se envían y haces una prueba inicial para comprobar que todo funciona.
516|<strong>La pantalla principal</strong>El botón EMERGENCIA y el recordatorio del comando de voz “Oye Siri, Ayúdame”.
517|<strong>La configuración</strong>Contactos, acciones de emergencia, prueba de la app y resumen antes de guardar.
518|<strong>SOS desde la esfera</strong>El botón rápido SOS de la esfera activa la emergencia con un toque.
519|<strong>watch4help™</strong>La tecnología ponible contra la violencia del proyecto no pAIn™.
520|Lista
521|Escuchando
522|Ajustes
523|Pantalla principal de Proteggimi: estado Listo, botones Iniciar y Detener, botón no pAIn de petición de ayuda, palabras clave activas y servicio en segundo plano.
524|Ajustes de Proteggimi: acciones de emergencia (mensajes de Telegram, SMS, llamadas), chat ID de Telegram y números de emergencia.
525|Ajustes de Proteggimi: palabras clave predefinidas y tres personalizadas, con el resumen de acciones y el botón Guardar configuración.
526|Pantalla principal de no pAIn para iPhone: estado Listo, botón rojo EMERGENCIA de petición de ayuda y recordatorio del comando de voz “Oye Siri, Ayúdame”.
527|Configuración de no pAIn para iPhone: chat ID de Telegram, números de emergencia, acciones (Telegram, SMS, WhatsApp, llamada), botón Probar la app y resumen.
528|Esfera de un smartwatch Wear OS con la fecha, la hora y el botón rápido SOS abajo.
529|Logotipo WATCH4HELP: un smartwatch con la señal de la mano para pedir ayuda y el texto Tecnología ponible contra la violencia, no pAIn project engineering.
530|AI help App lista: botón verde START y botón para la petición de ayuda manual.
531|AI help App escuchando las palabras clave: botón rojo STOP.
532|Ajustes de AI help App: acciones Telegram, SMS y llamadas, con el chat ID de Telegram.
533|Elección del idioma en AI help App: italiano, inglés, francés, alemán, español, turco, griego, portugués, rumano, polaco, neerlandés, sueco.
534|<strong>No es un localizador GPS: es un botón de emergencia inteligente</strong>Del post del proyecto en Instagram. Cartel en inglés.
535|<strong>La vinculación en la app</strong>En AI help You el botón aparece entre los dispositivos conectados, con el nombre AIhelpButton, junto al smartwatch.
536|Cartel del post de Instagram: button4help con AI help You, “Not a GPS tracker. A smart emergency button.” Una joven mete el botón en el bolsillo de sus vaqueros; debajo, los pasos de la alerta a la ayuda y las características: innovador, discreto, ligero, ponible, fácil de usar, siempre contigo.
537|Ajustes de AI help You: palabras clave personales, idioma del reconocimiento de voz y dispositivos conectados, con las opciones Smartwatch y AIhelpButton.
538|En iPhone algunas funciones están limitadas por las normas de Apple: por eso el comando de voz pasa por Siri, y los SMS, WhatsApp y llamadas por el Atajo “Proteggimi”. Las apps para Android, en su versión completa, ofrecen todas las funciones.
539|Canales de alerta
540|Generales
541|Tecnología peer-to-peer: la alarma va de tu teléfono directamente a tus contactos de confianza, sin cuenta, inicio de sesión ni nube propia. Se aplica el principio de minimización de datos: el desarrollador declara no recopilar datos personales ni cederlos a terceros; los ajustes y los contactos permanecen en el dispositivo.
542|Para entregar las alertas y obtener la dirección se utilizan, no obstante, los servicios externos previstos por la app.
543|Fiabilidad técnica
544|Alertas entregadas incluso con conexión intermitente: reenvío automático en cuanto vuelve la red
545|Ubicación en tiempo real reanudada automáticamente tras cualquier interrupción, como un reinicio o las optimizaciones del sistema
546|Funcionamiento continuo en primer plano, en segundo plano y con la pantalla apagada, con el estado siempre visible
547|Reactivación guiada tras reinicios y actualizaciones, para no perder la configuración
548|Cada función verificada con pruebas de campo en smartphones y smartwatches reales
549|El funcionamiento efectivo depende de la versión, los permisos, la red y el dispositivo.
550|Dónde nace
551|En el Politecnico di Bari.
552|El proyecto nace en el Departamento de Ingeniería Eléctrica y de la Información del Politecnico di Bari, en el laboratorio ELEDIGILAB de Electrónica de los Sistemas y las Aplicaciones Digitales.
553|Prensa
554|Han hablado de ello.
555|Periódicos y televisiones que han contado el proyecto no pAIn™.
556|<b data-no-i18n="">BariToday</b> · Artículo · 3 de marzo de 2026
557|Leer el artículo ↗
558|<b data-no-i18n="">TG Norba</b> · Reportaje de TV · 19 de diciembre de 2024
559|El proyecto no pAIn™ en la edición de las 7.30 del informativo.
560|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Vídeo · 17 de diciembre de 2023
561|Ver el vídeo ↗
562|<b data-no-i18n="">TVA · Acquedotto Pugliese</b> · Vídeo
563|Prevenir la violencia de género con inteligencia artificial: entrevista al Prof. Ing. Agostino Giorgio.
564|Logotipo del Politecnico di Bari
565|Logotipo del Departamento de Ingeniería Eléctrica y de la Información del Politecnico di Bari
566|Logotipo de ELEDIGILAB, Laboratorio de Electrónica de los Sistemas y las Aplicaciones Digitales
567|Artículo de BariToday sobre la app para pedir ayuda creada en el Politecnico di Bari
568|Reportaje del TG Norba de las 7.30 del 19 de diciembre de 2024
569|Página de La Gazzetta del Mezzogiorno sobre la pulsera con inteligencia artificial diseñada en Bari
570|¿Se pueden usar también para otras emergencias?
571|Sí. La tecnología no pAIn™ nace para prevenir la violencia de género, pero su mecanismo, avisar enseguida a contactos de confianza con la ubicación, sirve en cualquier emergencia en la que sea difícil pedir ayuda en voz alta o usar el teléfono.
572|Pedir ayuda desde tu smartphone o smartwatch sin manipularlos: <span class="hl">se puede</span>, con la tecnología digital4help™ del proyecto no pAIn™.
573|<strong>digital4help™</strong>, la nueva era de la protección digital: de los laboratorios de investigación universitaria directamente a tus dispositivos.
574|no pAIn™ pone la inteligencia artificial al servicio de la prevención: herramientas digitales discretas que te protegen estés donde estés y una app para cada dispositivo, con apps complementarias para smartwatch.
575|Descarga la app para tu dispositivo
576|Toca una imagen para ampliarla.
577|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Artículo · agosto de 2026
578|Tecnología peer-to-peer e inteligencia artificial sin conexión al servicio de la seguridad: el artículo cuenta el proyecto no pAIn™, nacido en el laboratorio ELEDIGILAB del Politecnico di Bari, y sus dos pilares, privacidad total y petición de ayuda incluso sin tocar el teléfono.
579|Ver en Instagram ↗
580|Cartel no pAIn project de Agostino Giorgio, Politecnico di Bari: un escudo con una figura femenina, la lista de las cuatro apps (Proteggimi para Android en italiano, AI help You para Android en 12 idiomas, AIuto SOS – watch4help para relojes inteligentes Wear OS, no pAIn para iOS) y, abajo, un reloj inteligente con la tecla SOS, un smartphone con la app y el botón button4help colgado al cuello.
581|<strong>no pAIn™ project: Technology that protects life</strong>El proyecto y sus apps en un cartel, en inglés.
582|Gratis cuando hace falta
583|En el momento del peligro, <span class="hl">pedir ayuda es gratis.</span>
584|Todas las apps se descargan gratis y en cada una al menos una forma de dar la alarma con tu ubicación sigue siendo siempre gratuita, incluso sin suscripción.
585|Reloj inteligente Wear OS
586|gratis, todas las funciones
587|Totalmente gratuita: sin prueba limitada en el tiempo, sin suscripción y sin compras dentro de la app. La alarma sale de tu muñeca, incluso sin smartphone.
588|Descargar ahora →
589|3 días
590|de prueba completa, luego la emergencia sigue gratis
591|Proteggimi y AI help You
592|Tras la prueba solo caduca el inicio desde el botón Avvia de Proteggimi o Start de AI help You. La emergencia se activa gratis desde la notificación permanente, el botón rápido de la pantalla de inicio, el reloj inteligente y, con AI help You, desde button4help™. Una vez iniciada, la app también escucha tus comandos de voz.
593|Descargar Proteggimi →
594|Descargar AI help You →
595|iPhone y Apple Watch
596|Siempre
597|gratis la alarma con tu ubicación
598|El mensaje de alerta por Telegram con tu ubicación del momento y la ubicación en tiempo real es siempre gratuito, y también sale desde el Apple Watch. Comando de voz, SMS, WhatsApp y llamada se añaden con una única compra dentro de la app, sin suscripción.
599|Todos los detalles sobre lo que es gratis →
601|<strong>Todas se descargan gratis</strong> y en cada una pedir ayuda con tu ubicación sigue siendo gratuito. <a class="link-arrow" href="versioni.html">Qué es gratis en cada app →</a>
602|Emergencia gratis
603|Descargar ahora
604|Escanea el código con la cámara del teléfono o toca el distintivo.
605|Gratis en la emergencia
606|<strong>3 días de prueba con todas las funciones.</strong> Después, las funciones de emergencia siguen siendo gratuitas: solo caduca el inicio desde el botón Start de la app.
607|La emergencia se activa gratis desde la notificación permanente, el botón rápido de la pantalla de inicio, el reloj inteligente y button4help™
608|Una vez iniciada así, también se activa la escucha de los comandos de voz
609|AI help You avisa a los contactos configurados. No contacta con los servicios públicos de emergencia ni los sustituye. Tras los 3 días de prueba funciona gratis en modo emergencia rápida: <a class="link-arrow" href="versioni.html">ver Free y Premium</a>.
610|<strong>3 días de prueba con todas las funciones.</strong> Después, las funciones de emergencia siguen siendo gratuitas: solo caduca el inicio desde el botón Avvia de la app.
611|La emergencia se activa gratis desde la notificación permanente, el botón rápido de la pantalla de inicio y el reloj inteligente
612|Alarma gratis
613|<strong>Siempre gratis: la alarma con tu ubicación.</strong> El mensaje de alerta por Telegram sale con tu ubicación del momento y con la ubicación en tiempo real durante 30 minutos, también desde el Apple Watch.
614|Con una única compra dentro de la app, sin suscripción, añades el comando de voz “Oye Siri, Ayúdame”, SMS, WhatsApp, llamada y ubicación en tiempo real hasta 24 horas.
615|Todo gratis
616|Totalmente gratuita
617|<strong>Todas las funciones son gratuitas.</strong> Sin prueba limitada en el tiempo, sin suscripción y sin compras dentro de la app.
618|Código QR para descargar AI help You de Google Play
619|Disponible en Google Play
620|Código QR para descargar Proteggimi de Google Play
621|Código QR para descargar no pAIn del App Store
622|Consíguelo en el App Store
623|Código QR para descargar AIuto SOS de Google Play
624|Código QR para descargar AI help App de Google Play
625|Pedir ayuda <span class="hl">siempre es gratis.</span>
626|Todas las apps se descargan gratis y en cada una al menos una forma de dar la alarma con tu ubicación sigue siendo gratuita. AIuto SOS para Wear OS es totalmente gratuita; las apps Android tienen 3 días de prueba completa y después las funciones de emergencia siguen siendo gratuitas; en iPhone la alarma por Telegram con tu ubicación es siempre gratis.
627|Wear OS · AIuto SOS
628|Todas las funciones incluidas
629|Sin prueba limitada en el tiempo
630|Sin suscripción y sin compras dentro de la app
631|App autónoma para relojes inteligentes Wear OS: funciona incluso sin smartphone.
632|Android · Proteggimi y AI help You
633|3 días de prueba, luego emergencia gratis
634|Durante 3 días la app está completa. Después, las funciones de emergencia siguen siendo gratuitas: solo caduca el inicio desde el botón Avvia de Proteggimi o Start de AI help You.
635|Inicio gratis desde la notificación permanente y el botón rápido de la pantalla de inicio
636|Inicio gratis desde el reloj inteligente y, con AI help You, desde button4help™
637|Una vez iniciada, escucha de comandos de voz activa
638|Con Premium vuelve también el inicio desde el botón Avvia/Start. Las condiciones y el precio figuran en la ficha de cada app en Google Play.
639|Alarma con ubicación, siempre gratis
640|Telegram con tu ubicación del momento
641|Inicio también desde el Apple Watch
642|Una sola compra dentro de la app, más funciones
643|App Wear OS dedicada, gratuita
644|¹ Tras los 3 días de prueba, sin Premium el botón Avvia (Proteggimi) o Start (AI help You) está inactivo; la emergencia se activa gratis desde los botones de emergencia rápida.
645|² En Android Free, tras el inicio desde un botón de emergencia rápida.
646|Descargarlas es gratis y en cada app pedir ayuda con tu ubicación sigue siendo gratuito. AIuto SOS watch4help™ para Wear OS es totalmente gratuita. Proteggimi y AI help You para Android ofrecen 3 días de prueba completa; después las funciones de emergencia siguen siendo gratuitas y solo caduca el inicio desde el botón Avvia o Start. En iPhone la alarma por Telegram con tu ubicación, también en tiempo real y desde el Apple Watch, es siempre gratis; Siri, SMS, WhatsApp y llamada requieren una compra única, sin suscripción. <a href="versioni.html">Ver la comparación</a>.
600|<a class="link-arrow" href="https://apps.apple.com/app/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> para iPhone, en 12 idiomas
647|Visitas al sitio
648|<strong>Un toque en el reloj inteligente, incluso con el teléfono en el suelo</strong>Durante una agresión basta con tocar el reloj: Proteggimi avisa a los amigos con la ubicación, ellos llaman a las fuerzas del orden y la ayuda llega a tiempo. Escenas de ficción, con fines demostrativos; el vídeo tiene sonido.
649|AI help You en dos carteles.
650|En imágenes
651|Doce idiomas, el botón button4help™ y una alarma que se activa con una simple pulsación: los carteles resumen qué hace la app y cómo descargarla.
652|<strong>AI help You</strong>El cartel en inglés: el código QR lleva a la app en Google Play.
653|<strong>AI help You y button4help™</strong>No es un localizador GPS, sino un botón de emergencia inteligente. Infografía en inglés.
654|Cartel AI help You de Agostino Giorgio, Politecnico di Bari: el escudo con la figura femenina, el código QR para descargar la app de Google Play y, abajo, un reloj inteligente con la tecla SOS, el smartphone con la app y el botón button4help colgado al cuello.
655|Infografía AI help You y button4help: app de prevención de la violencia de género en 12 idiomas; no un localizador GPS sino un botón de emergencia inteligente; una mano pulsa el botón; las fases alerta enviada, la amiga recibe la notificación, acción inmediata; innovador, discreto, ligero, portátil, fácil de usar, siempre contigo.
656|<strong>De la alerta a la ayuda</strong>button4help™ con AI help You en una infografía, en inglés.
657|Infografía vertical button4help con AI help You: no un localizador GPS sino un botón de emergencia inteligente; una mano pulsa el botón junto a un bolso; las fases de la alerta a la ayuda; innovador, discreto, ligero, portátil, fácil de usar, siempre contigo.
658|La imagen símbolo del proyecto · ilustración
659|no pAIn: never oppressed protected by Artificial Intelligence nonviolence system, con las iniciales resaltadas en color.
660|Ilustración: una mujer de aspecto futurista levanta la mano abierta con las palabras NO PAIN, entre circuitos luminosos.
661|Portada del artículo No Pain Device en la revista Electronics (MDPI), 2024, volumen 13, número 9, 1766.
662|Portada del artículo A Smart App for the Prevention of Gender-Based Violence en la revista Electronics (MDPI), 2026, volumen 15, número 1, 197.
663|Las tecnologías del proyecto, a disposición de entidades y empresas
664|Tecnología contra la violencia de género · el proyecto no pAIn™ del Politecnico di Bari
665|Marca: escudo con una figura femenina y las palabras no pAIn & watch4help technologies, by no pAIn project engineering.
666|Cartel «Tecnologia contro la violenza di genere» (Tecnología contra la violencia de género), proyecto no pAIn del Politecnico di Bari: dos manos sostienen un smartphone con el escudo de la app; abajo, privacidad total entre pares, IA sin conexión y sin nube y activación rápida con la voz, el tacto o el reloj inteligente.
667|<strong>Pedir ayuda con la voz, sin que te descubran</strong>Le han tirado el teléfono al suelo, pero la mujer dice “non farlo” (“no lo hagas”), una palabra clave personalizada: Proteggimi reconoce el comando de voz y envía la petición de auxilio. Esas palabras no le hacen entender al agresor que se ha dado la alarma, tanto que se queda allí y es detenido.
668|Proyecto ideado y desarrollado por el <strong>Prof. Ing. Agostino Giorgio</strong><br>Profesor del Politecnico di Bari
669|Las tres características de digital4help™
670|Privacidad total, activación rápida, inteligencia artificial a bordo.
671|<b>Comunicación directa, sin intermediarios (P2P).</b> Para pedir ayuda no se pasa por servicios propietarios, centrales de emergencia ni suscripciones a servicios de asistencia: la alarma va de tu dispositivo directamente a uno o dos contactos de confianza, elegidos por ti al configurar la app, junto con tu ubicación. Son ellos quienes acuden o avisan a las fuerzas del orden, explicando con calma todos los detalles necesarios para intervenir: esa calma que tú, en peligro, no tendrías.
672|<b>Activación rápida, desde varios puntos.</b> En la emergencia no hay tiempo para sacar el teléfono, desbloquearlo y abrir la app. Por eso cada app ofrece varias formas de lanzar la alarma: la voz, una tecla de la app compañera del reloj inteligente o el botón button4help™, un dispositivo externo que llevas encima. La alarma sale incluso con el teléfono lejos de las manos.
673|<b>Inteligencia artificial que trabaja sin conexión.</b> Las palabras clave las reconoce la inteligencia artificial instalada en el dispositivo, no un servicio en línea: no se envía nada a la red para entender que estás pidiendo ayuda, y la petición de auxilio sale antes.
674|<strong>Las tres características en un cartel</strong>Privacidad total, IA sin conexión y activación rápida. En inglés.
675|El botón que lanza la alarma a distancia, una vez emparejado con la app. Se compra en una tienda externa.
676|Cartel Technology against gender-based violence, no pAIn Project from Poliba: dos manos sostienen un smartphone con el escudo de la app, las palabras No Trace y Safe Zone y, abajo, privacidad total (P2P), inteligencia artificial sin conexión ni nube y activación rápida por voz, tacto, reloj inteligente o botón button4help.
677|<b>Por sí solo no pide ayuda.</b> button4help™ es un botón Bluetooth de un fabricante externo, no un producto no pAIn™: se convierte en activador de emergencia solo tras el emparejamiento con la app AI help You en Android o con la app no pAIn™ (Proteggimi) para iPhone, a partir de la versión 59.
678|Antes de comprarlo
679|Por sí solo el botón <span class="hl">no hace nada.</span>
680|button4help™ es un simple botón Bluetooth que se vende en una tienda en línea: no tiene SIM, no tiene detrás ningún centro de asistencia y no conoce tu ubicación. Las funciones de emergencia las pone la app no pAIn™: es ella la que reconoce el dispositivo, lo acepta como activador y, al pulsarlo, envía mensajes, ubicación y llamadas a tus contactos.
681|Sin el emparejamiento con la app, el botón no tiene ninguna función de auxilio.
682|Las apps que lo reconocen
683|<a class="link-arrow" href="prodotti.html#ai-help-you">AI help You ↗</a> para Android
684|<a class="link-arrow" href="prodotti.html#no-pain-ios">no pAIn™ (Proteggimi) ↗</a> para iPhone, a partir de la versión 59
685|El emparejamiento se hace una sola vez, desde la app, con un asistente de pocos pasos. Proteggimi para Android y AIuto SOS para Wear OS no usan el botón.
686|AI help You (Android) y no pAIn™ (iPhone) a partir de la versión 59, tras el emparejamiento
687|Abre AI help You en Android o no pAIn™ para iPhone, a partir de la versión 59, y sigue el asistente de emparejamiento: pocos pasos, una sola vez. A partir de ese momento la app reconoce el botón y lo acepta como activador. Luego haz una prueba acordada con tus contactos.
688|Comprarlo tiene sentido solo si usas AI help You en Android o no pAIn™ para iPhone, a partir de la versión 59: son las apps que lo convierten en un activador de emergencia. Por sí solo el botón no pide ayuda a nadie.
689|De tu dispositivo a tus contactos, sin intermediarios
690|Tecnología entre pares: para pedir auxilio no se pasa por servicios propietarios, centrales de emergencia ni suscripciones a servicios de asistencia. La alarma, con la geolocalización, va de tu dispositivo directamente a uno o dos contactos de confianza, que eliges al configurar la app.
691|Son ellos quienes deciden cómo intervenir: acudir en persona o avisar a las fuerzas del orden, describiendo con calma todos los detalles útiles para la intervención. Es una calma que quien está en peligro no puede tener.
692|Sin cuenta, sin inicio de sesión y sin nube propietaria. Rige el principio de minimización de datos: el desarrollador declara no recoger datos personales ni cederlos a terceros; los ajustes y los contactos se quedan en el dispositivo.
693|En las versiones Android y en los idiomas admitidos, las palabras clave las reconoce la inteligencia artificial instalada en el dispositivo, no un servicio en línea: no se envía nada a la red para entender que estás pidiendo ayuda y el auxilio se pone en marcha antes.
694|El envío de los avisos, en cambio, requiere las conexiones propias del canal elegido: datos móviles, SMS o telefonía.
695|Activación rápida
696|Varios puntos de activación, porque falta el tiempo
697|Las apps están pensadas para la emergencia, cuando no hay tiempo de sacar el teléfono, desbloquearlo y buscar la app. Por eso cada una ofrece varias formas de enviar la petición de ayuda.
698|Comandos de voz, incluso con la pantalla apagada y el teléfono a unos metros
699|Tecla de emergencia en la app, botón rápido en la pantalla de inicio y notificación permanente
700|App compañera para relojes inteligentes o app autónoma para Wear OS
701|button4help™, el botón externo para llevar en el bolsillo, en el bolso o al cuello
702|El botón que llevas en el bolsillo y que dispara la alarma de AI help You y de no pAIn™ para iPhone, una vez emparejado con la app: por sí solo no tiene funciones de emergencia. Qué es, qué no es y dónde comprarlo.
703|Por sí solo no tiene ninguna función de emergencia: es un botón Bluetooth de un fabricante externo y se convierte en activador de alarma solo tras el emparejamiento con la app, que se hace una vez con un asistente guiado. Las apps que lo reconocen son AI help You para Android y no pAIn™ (Proteggimi) para iPhone, a partir de la versión 59. Se compra en <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a>, a un vendedor externo: no pAIn™ no lo vende. Si tienes dudas sobre la compatibilidad con tu teléfono, <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">escribe al diseñador</a>.
704|Los recuadros de Instagram se cargan desde los servidores de Instagram: al abrir la página, tu navegador se conecta a ellos.
705|Organizaciones
706|Cómo funciona la tecnología →
707|no pAIn™ — Vídeos y demos
708|Los vídeos del proyecto no pAIn™: la ubicación enviada por el teléfono de la víctima, las demos de las apps, el reloj inteligente y el botón button4help™.
709|Vídeos y demos
710|Ver qué pasa <span class="hl">cuando salta la alarma.</span>
711|Todos los vídeos del proyecto en una página: escenas de ficción, grabadas con fines demostrativos, que muestran cómo las apps no pAIn™ piden ayuda en tu lugar y qué reciben tus contactos.
712|El vídeo que hay que ver primero
713|La ubicación la manda tu teléfono, <span class="hl">no una central de emergencias.</span>
714|En un secuestro el tiempo lo es todo. En la cadena habitual hay que conseguir llamar, explicar dónde estás y esperar a que la central localice el teléfono. Con no pAIn™ esa parte sobra: es el dispositivo de la víctima el que transmite por sí solo la ubicación, actualizada, a quien debe intervenir.
715|<strong>Agresión y secuestro: la alarma sale con la ubicación</strong>El reel está publicado en el perfil de Instagram del proyecto. Escenas de ficción, con fines demostrativos.
716|Por qué este detalle puede salvar una vida
717|<b>Ninguna llamada que hacer.</b> Quien sufre una agresión o es llevada por la fuerza no consigue llamar, hablar ni describir dónde está. La alarma sale con la voz, con una tecla o con button4help™, sin decir una palabra a nadie.
718|<b>La ubicación llega ya lista.</b> Coordenadas, dirección y enlace al mapa salen del teléfono de la víctima y llegan a los contactos de confianza, que pueden pasarlos enseguida a las fuerzas del orden.
719|<b>La ubicación se sigue actualizando.</b> Si el agresor se mueve, quien acude ve el recorrido en directo: no persigue un punto de hace minutos.
720|<b>Se saltan los pasos que cuestan tiempo.</b> No hace falta que una central localice el teléfono: en un secuestro, ese tiempo es la diferencia entre llegar a tiempo y llegar demasiado tarde.
721|Las demos de las apps
722|Cuatro situaciones, cuatro formas de pedir ayuda.
723|La voz, el reloj inteligente, el botón en el bolsillo: cada vídeo muestra un punto de activación distinto y qué ocurre al otro lado, cuando los contactos reciben la alarma. Los vídeos tienen sonido.
724|Otros vídeos
725|El reel de button4help™ y el perfil de Instagram.
726|En el perfil del proyecto encuentras más vídeos breves, los carteles y las novedades sobre las apps.
727|Abrir Instagram <span class="arr">↗</span>
728|Reel de Instagram de no pAIn: agresión y secuestro, la alarma sale con la ubicación
729|Ver los vídeos <span class="arr">→</span>
730|El manual
731|El manual ya está dentro de la app, en el reloj
