ui.menu|Meniu
455|Afiș: Proteggimi (no pAIn), aplicația diferită și inteligentă. Ajutor imediat chiar și fără să atingi smartphone-ul.
456|no pAIn™ — Întrebări frecvente
457|Răspunsuri clare despre aplicațiile no pAIn™, button4help™, conexiune, confidențialitate și costuri.
458|Întrebări simple. <span class="hl">Răspunsuri clare.</span>
459|Înainte să alegi, află cum funcționează și care sunt condițiile de utilizare.
460|De ce să nu suni direct la 112?
461|112 rămâne esențial și, dacă poți, sună. Dar în pericol de multe ori nu poți vorbi cu un operator, explica situația și spune unde te afli. Exact pentru asta există aplicațiile no pAIn™: cu un cuvânt sau o atingere discretă anunță două persoane de încredere împreună cu locația ta, iar ele vor chema poliția.
462|Cine primește cererea de ajutor?
463|Cele două contacte de urgență setate de tine în aplicație, rude sau prieteni. În funcție de aplicație poți activa SMS, WhatsApp (iPhone), Telegram și apeluri. Aplicațiile nu contactează serviciile publice de urgență.
464|Le pot folosi cu un iPhone?
465|Da: no pAIn™ (Proteggimi) este disponibilă în App Store, în 12 limbi și cu aplicație însoțitoare pentru Apple Watch. Versiunea gratuită include SOS și Telegram; Premium adaugă Siri, SMS, WhatsApp și apeluri prin Scurtături. <a href="versioni.html">Vezi comparația</a>.
466|Cât costă?
467|Pe iOS descărcarea și funcțiile Free sunt gratuite; Premium necesită o plată unică, fără abonament. Pe Android butoanele de urgență rapidă rămân gratuite, cu limitările prezentate în <a href="versioni.html">comparație</a>. Consultă magazinele pentru prețurile aplicațiilor.
468|Locația rămâne vizibilă 24 de ore în orice aplicație?
469|Durata depinde de aplicație și de versiune. Pe iOS Free este de 30 de minute; pe iOS Premium variază de la 1 minut la 24 de ore. AI help You ajunge până la 24 de ore; Proteggimi Android și AIuto SOS watch4help™ indică 30, respectiv 60 de minute. Verifică opțiunile aplicației instalate.
470|Ceasul trebuie să fie mereu aproape de telefon?
471|Pe Wear OS poți alege între aplicația însoțitoare a telefonului și AIuto SOS watch4help™, autonomă, care folosește conexiunea ceasului. Aplicația însoțitoare pentru Apple Watch funcționează cu iPhone-ul asociat: Telegram și locația pot pleca chiar și cu iPhone-ul blocat; pentru celelalte acțiuni Premium, aplicația de pe iPhone trebuie să fie în prim-plan. O aplicație AIutoSOS dedicată pentru Apple Watch este în pregătire.
472|Butonul funcționează fără smartphone?
473|Nu. button4help™ comandă o aplicație de pe smartphone-ul asociat: telefonul trebuie să fie pornit și accesibil prin Bluetooth. Dacă ai nevoie de o soluție fără telefon, există aplicația autonomă <a href="prodotti.html#aiuto-sos">AIuto SOS watch4help™</a> pentru Wear OS, ale cărei funcții depind de conectivitatea ceasului.
474|Prin ce diferă de un AirTag sau de un localizator?
475|Localizatoarele GPS sau Bluetooth servesc la găsirea obiectelor și animalelor prin rețeaua AirTag a Apple sau prin cea Android. button4help™ nu poate fi localizat: este un buton care, apăsat câteva secunde, declanșează urgența în aplicație. Conține doar un modul Bluetooth Low Energy și o baterie tip monedă, de aceea este atât de mic. Este diferit și de clasicele butoane SOS pentru vârstnici.
476|De unde îl cumpăr și cu ce aplicații funcționează?
477|Se cumpără de pe <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a>, de la un vânzător terț: no pAIn™ nu îl vinde. Funcționează cu AI help You pe Android și cu no pAIn™ pe iPhone. Dacă ai dubii privind compatibilitatea cu telefonul tău, <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">scrie-i proiectantului</a>.
478|Fotografiile butonului arată dispozitivul actual. Imaginile promoționale cu pandantive în formă de inimă sau alte bijuterii ilustrează posibilități de design: disponibilitatea și caracteristicile acestor accesorii trebuie confirmate cu proiectantul.
479|Conexiune și confidențialitate
480|„IA offline” înseamnă că nu e nevoie de conexiune?
481|Recunoașterea locală a cuvintelor-cheie nu trimite sunetul către un serviciu cloud. Trimiterea alertelor este un pas diferit: Telegram și WhatsApp necesită internet; SMS-urile și apelurile depind de rețea și de abonamentul operatorului. Trebuie să fie disponibilă și conexiunea dintre accesoriu și telefon.
482|Sunt înregistrate conversațiile?
483|Dezvoltatorul declară că microfonul servește la recunoașterea locală a cuvintelor-cheie, fără a înregistra sunetul, și că contactele și setările rămân pe dispozitiv. Alertele folosesc totuși servicii externe, precum operatorii de telefonie și Telegram, cu propriile politici de confidențialitate. Consultă <a href="https://poliba.wixsite.com/no_pain_privacy" target="_blank" rel="noopener">politica de confidențialitate a fiecărei aplicații</a>.
484|Trebuie să-mi creez un cont?
485|Nu. Aplicațiile nu cer cont, autentificare sau cloud propriu: setările și contactele rămân pe telefonul tău.

486|Proiectul pe scurt
487|Inteligența artificială împotriva violenței de gen.
488|Acest afiș rezumă proiectul no pAIn™: inteligența artificială în slujba prevenirii, instrumente digitale discrete care te protejează oriunde te-ai afla și o aplicație pentru fiecare dispozitiv, cu aplicații însoțitoare pentru ceasuri inteligente.
489|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">AIuto SOS — watch4help™ ↗</a> pentru ceasuri Wear OS
490|<a class="link-arrow" href="https://apps.apple.com/it/app/no-pain/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> pentru iPhone, în 12 limbi
491|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.nopain" target="_blank" rel="noopener">Proteggimi ↗</a> pentru Android, în italiană
492|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.helpyou" target="_blank" rel="noopener">AI help You ↗</a> pentru Android, în 12 limbi
493|Atinge afișul pentru a-l mări. Pentru a descărca aplicațiile, folosește linkurile de mai sus.
494|<strong>Protect Your Freedom: AI Against Gender Violence</strong>Afișul proiectului, în engleză.
495|Afișul proiectului no pAIn: Protect Your Freedom, AI Against Gender Violence. Prezintă aplicațiile AIuto SOS pentru ceasuri inteligente, no pAIn pentru iPhone, Proteggimi și AI help You pentru Android.
496|<strong>digital4help™: Digital protection against gender-based violence</strong>Afișul proiectului, în engleză.
497|Afiș digital4help: Digital protection against gender-based violence. A new era has just begun. Un scut cu o siluetă feminină în centrul unor circuite luminoase, deasupra unui smartphone cu aplicația no pAIn și a unui ceas inteligent cu semnalul mâinii pentru ajutor; în jur, cuvintele IA Offline, Safe Zone, No Trace, SOS Wearable.
498|Video demonstrativ
499|Proteggimi în acțiune.
500|Telefonul e pe jos, departe de mâini, și totuși mesajele de ajutor pleacă. Prietenii primesc alarma cu locația: unul sună la poliție, care ajunge la timp.
501|Scene de ficțiune, în scop demonstrativ. Videoclipul are sunet.
502|Video
503|<strong>Să ceri ajutor fără să fie nevoie să vorbești</strong>De la momentul pericolului până la sosirea ajutorului, în 37 de secunde.
504|<strong>SOS de la încheietură, chiar și cu cadranul stins</strong>O atingere pe butonul INVIO (trimite) al ceasului sau o comandă vocală fără să atingi cadranul: prietenii primesc alarma, cheamă ajutor și ajutorul sosește. Textele din video în italiană; scene de ficțiune, în scop demonstrativ.
505|<strong>O apăsare, ajutorul sosește la timp</strong>Butonul pornește AI help You: locația în timp real ajunge la o prietenă, care sună la poliție. Textele din video în engleză.
506|<strong>În mașină, când nu poți lua telefonul</strong>Lângă un bărbat agresiv, orice gest spre smartphone ar fi observat: este momentul în care o apăsare discretă pe button4help™ trimite cererea de ajutor. Scenă de ficțiune, în scop demonstrativ.
507|Politica de confidențialitate <span class="arr">↗</span>
508|Capturi de ecran
509|Cum arată aplicația.
510|După ce accepți termenii de utilizare, în setări alegi acțiunile de urgență și introduci numerele de telefon, chat ID-urile Telegram și cuvintele-cheie secrete. Pagina principală arată starea aplicației și cuvintele-cheie active.
511|<strong>Pagina principală</strong>Butoanele Pornește și Oprește, cererea manuală de ajutor, cuvintele-cheie active și serviciul în fundal.
512|<strong>Acțiunile de urgență</strong>Telegram, SMS și apeluri, cu chat ID-urile Telegram și numerele contactelor.
513|<strong>Cuvintele-cheie personale</strong>Până la 3 cuvinte secrete ale tale, pe lângă cele 4 predefinite.
514|Cum arată aplicația pentru iPhone.
515|Pagina principală are marele buton URGENȚĂ. În configurare introduci chat ID-urile Telegram și numerele de urgență, alegi acțiunile de trimis și faci un test inițial ca să verifici că totul funcționează.
516|<strong>Pagina principală</strong>Butonul URGENȚĂ și reamintirea comenzii vocale „Hey Siri, Ajută-mă”.
517|<strong>Configurarea</strong>Contacte, acțiuni de urgență, testul aplicației și rezumatul înainte de salvare.
518|<strong>SOS de pe cadran</strong>Butonul rapid SOS de pe cadran pornește urgența cu o atingere.
519|<strong>watch4help™</strong>Tehnologia purtabilă împotriva violenței a proiectului no pAIn™.
520|Pregătită
521|Ascultă
522|Setări
523|Pagina principală Proteggimi: starea Pregătit, butoanele Pornește și Oprește, butonul no pAIn de cerere de ajutor, cuvintele-cheie active și serviciul în fundal.
524|Setări Proteggimi: acțiuni de urgență (mesaje Telegram, SMS, apeluri), chat ID-uri Telegram și numere de urgență.
525|Setări Proteggimi: cuvinte-cheie implicite și trei cuvinte-cheie personalizate, cu rezumatul acțiunilor și butonul Salvează configurarea.
526|Pagina principală no pAIn pentru iPhone: starea Pregătit, butonul roșu URGENȚĂ pentru cererea de ajutor și reamintirea comenzii vocale „Hey Siri, Ajută-mă”.
527|Configurarea no pAIn pentru iPhone: chat ID-uri Telegram, numere de urgență, acțiuni (Telegram, SMS, WhatsApp, apel), butonul Testează aplicația și rezumat.
528|Cadranul unui ceas Wear OS cu data, ora și butonul rapid SOS jos.
529|Logo WATCH4HELP: un ceas inteligent cu semnalul mâinii pentru ajutor și textul Tehnologie purtabilă împotriva violenței, no pAIn project engineering.
530|AI help App pregătită: butonul verde START și butonul pentru cererea manuală de ajutor.
531|AI help App ascultă cuvintele-cheie: butonul roșu STOP.
532|Setări AI help App: acțiunile Telegram, SMS și apeluri, cu chat ID-ul Telegram.
533|Alegerea limbii în AI help App: italiană, engleză, franceză, germană, spaniolă, turcă, greacă, portugheză, română, poloneză, neerlandeză, suedeză.
534|<strong>Nu un localizator GPS: un buton de urgență inteligent</strong>Din postarea proiectului pe Instagram. Afiș în engleză.
535|<strong>Asocierea în aplicație</strong>În AI help You butonul apare printre dispozitivele conectate, cu numele AIhelpButton, lângă ceasul inteligent.
536|Afișul postării de Instagram: button4help cu AI help You, „Not a GPS tracker. A smart emergency button.” O tânără pune butonul în buzunarul blugilor; dedesubt, pașii de la alertă la ajutor și caracteristicile: inovator, discret, ușor, purtabil, simplu de folosit, mereu cu tine.
537|Setări AI help You: cuvinte-cheie personale, limba recunoașterii vocale și dispozitive conectate, cu opțiunile Smartwatch și AIhelpButton.
538|Pe iPhone unele funcții sunt limitate de regulile Apple: de aceea comanda vocală trece prin Siri, iar SMS-urile, WhatsApp și apelurile prin Scurtătura „Proteggimi”. Aplicațiile Android, în versiunea completă, oferă toate funcțiile.
539|Canale de alertă
540|Generale
541|Tehnologie peer-to-peer: alarma merge de pe telefonul tău direct la contactele de încredere, fără cont, autentificare sau cloud propriu. Se aplică principiul minimizării datelor: dezvoltatorul declară că nu colectează date personale și nu le cedează terților; setările și contactele rămân pe dispozitiv.
542|Pentru livrarea alertelor și determinarea adresei se folosesc totuși serviciile externe prevăzute de aplicație.
543|Fiabilitate inginerească
544|Alerte livrate chiar și cu conexiune intermitentă: retrimitere automată imediat ce revine rețeaua
545|Locația în timp real reluată automat după orice întrerupere, de exemplu o repornire sau optimizările sistemului
546|Funcționare continuă în prim-plan, în fundal și cu ecranul stins, cu starea mereu vizibilă
547|Reactivare ghidată după reporniri și actualizări, ca să nu se piardă configurarea
548|Fiecare funcție verificată prin teste pe teren pe smartphone-uri și ceasuri inteligente reale
549|Funcționarea efectivă depinde de versiune, permisiuni, rețea și dispozitiv.
550|Unde s-a născut
551|La Politecnico di Bari.
552|Proiectul s-a născut în Departamentul de Inginerie Electrică și a Informației al Politecnico di Bari, în laboratorul ELEDIGILAB de Electronică a Sistemelor și Aplicațiilor Digitale.
553|Presa
554|Au vorbit despre noi.
555|Ziare și televiziuni care au prezentat proiectul no pAIn™.
556|<b data-no-i18n="">BariToday</b> · Articol · 3 martie 2026
557|Citește articolul ↗
558|<b data-no-i18n="">TG Norba</b> · Reportaj TV · 19 decembrie 2024
559|Proiectul no pAIn™ în ediția de la 7.30 a jurnalului.
560|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Video · 17 decembrie 2023
561|Urmărește videoclipul ↗
562|<b data-no-i18n="">TVA · Acquedotto Pugliese</b> · Video
563|Prevenirea violenței de gen cu inteligența artificială: interviu cu Prof. Ing. Agostino Giorgio.
564|Logoul Politecnico di Bari
565|Logoul Departamentului de Inginerie Electrică și a Informației al Politecnico di Bari
566|Logoul ELEDIGILAB, Laboratorul de Electronică a Sistemelor și Aplicațiilor Digitale
567|Articol BariToday despre aplicația de cerere de ajutor creată la Politecnico di Bari
568|Reportajul TG Norba din ediția de la 7.30 din 19 decembrie 2024
569|Pagina Gazzetta del Mezzogiorno despre brățara cu inteligență artificială proiectată la Bari
570|Se pot folosi și pentru alte urgențe?
571|Da. Tehnologia no pAIn™ s-a născut pentru prevenirea violenței de gen, dar mecanismul ei, anunțarea imediată a contactelor de încredere împreună cu locația, ajută în orice urgență în care e greu să ceri ajutor cu voce tare sau să folosești telefonul.
572|Să ceri ajutor de pe smartphone sau de pe ceasul inteligent fără să le manevrezi: <span class="hl">se poate</span>, cu tehnologia digital4help™ a proiectului no pAIn™.
573|<strong>digital4help™</strong>, noua eră a protecției digitale: din laboratoarele de cercetare universitară direct în dispozitivele tale.
574|no pAIn™ pune inteligența artificială în slujba prevenirii: instrumente digitale discrete care te protejează oriunde te-ai afla și o aplicație pentru fiecare dispozitiv, cu aplicații însoțitoare pentru ceasuri inteligente.
575|Descarcă aplicația pentru dispozitivul tău
576|Atinge o imagine pentru a o mări.
577|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Articol · august 2026
578|Tehnologie peer-to-peer și inteligență artificială offline în slujba siguranței: articolul prezintă proiectul no pAIn™, născut în laboratorul ELEDIGILAB al Politecnico di Bari, și cei doi piloni ai săi, confidențialitate totală și cerere de ajutor chiar și fără să atingi telefonul.
579|Vezi pe Instagram ↗
580|Afișul no pAIn project de Agostino Giorgio, Politecnico di Bari: un scut cu o siluetă feminină, lista celor patru aplicații (Proteggimi pentru Android în italiană, AI help You pentru Android în 12 limbi, AIuto SOS – watch4help pentru ceasuri inteligente Wear OS, no pAIn pentru iOS) și, jos, un ceas inteligent cu tasta SOS, un smartphone cu aplicația și butonul button4help purtat la gât.
581|<strong>no pAIn™ project: Technology that protects life</strong>Proiectul și aplicațiile sale într-un afiș, în engleză.
582|Gratuit când contează
583|În clipa pericolului, <span class="hl">să ceri ajutor e gratuit.</span>
584|Toate aplicațiile se descarcă gratuit și în fiecare cel puțin un mod de a da alarma cu locația ta rămâne mereu gratuit, chiar și fără abonament.
585|Ceas inteligent Wear OS
586|gratuită, toate funcțiile
587|Complet gratuită: fără perioadă de probă limitată, fără abonament și fără achiziții în aplicație. Alarma pornește de la încheietura ta, chiar și fără smartphone.
588|Descarcă acum →
589|3 zile
590|de probă completă, apoi urgența rămâne gratuită
591|Proteggimi și AI help You
592|După perioada de probă expiră doar pornirea din butonul Avvia din Proteggimi sau Start din AI help You. Urgența pornește gratuit din notificarea permanentă, din butonul rapid de pe ecranul de pornire, de pe ceasul inteligent și, cu AI help You, de la button4help™. Odată pornită, aplicația îți ascultă și comenzile vocale.
593|Descarcă Proteggimi →
594|Descarcă AI help You →
595|iPhone și Apple Watch
596|Mereu
597|gratuită alarma cu locația
598|Mesajul de alertă pe Telegram cu locația ta din acel moment și locația live este mereu gratuit și pornește și de pe Apple Watch. Comanda vocală, SMS-ul, WhatsApp și apelul se adaugă cu o singură achiziție în aplicație, fără abonament.
599|Toate detaliile despre ce este gratuit →
601|<strong>Toate se descarcă gratuit</strong> și în fiecare să ceri ajutor cu locația ta rămâne gratuit. <a class="link-arrow" href="versioni.html">Ce este gratuit în fiecare aplicație →</a>
602|Urgență gratuită
603|Descarcă acum
604|Scanează codul cu camera telefonului sau atinge insigna.
605|Gratuit în caz de urgență
606|<strong>3 zile de probă cu toate funcțiile.</strong> Apoi funcțiile de urgență rămân gratuite: expiră doar pornirea din butonul Start al aplicației.
607|Urgența pornește gratuit din notificarea permanentă, din butonul rapid de pe ecranul de pornire, de pe ceasul inteligent și de la button4help™
608|Odată pornită așa, se activează și ascultarea comenzilor vocale
609|AI help You anunță contactele configurate. Nu contactează serviciile publice de urgență și nu le înlocuiește. După cele 3 zile de probă funcționează gratuit în modul urgență rapidă: <a class="link-arrow" href="versioni.html">vezi Free și Premium</a>.
610|<strong>3 zile de probă cu toate funcțiile.</strong> Apoi funcțiile de urgență rămân gratuite: expiră doar pornirea din butonul Avvia al aplicației.
611|Urgența pornește gratuit din notificarea permanentă, din butonul rapid de pe ecranul de pornire și de pe ceasul inteligent
612|Alarmă gratuită
613|<strong>Mereu gratuită: alarma cu locația ta.</strong> Mesajul de alertă pe Telegram pleacă cu locația ta din acel moment și cu locația live timp de 30 de minute, inclusiv de pe Apple Watch.
614|Cu o singură achiziție în aplicație, fără abonament, adaugi comanda vocală „Hey Siri, Ajută-mă”, SMS, WhatsApp, apel și locație live până la 24 de ore.
615|Totul gratuit
616|Complet gratuită
617|<strong>Toate funcțiile sunt gratuite.</strong> Fără perioadă de probă limitată, fără abonament și fără achiziții în aplicație.
618|Cod QR pentru a descărca AI help You din Google Play
619|Descarcă de pe Google Play
620|Cod QR pentru a descărca Proteggimi din Google Play
621|Cod QR pentru a descărca no pAIn din App Store
622|Descărcați de pe App Store
623|Cod QR pentru a descărca AIuto SOS din Google Play
624|Cod QR pentru a descărca AI help App din Google Play
625|Să ceri ajutor <span class="hl">e mereu gratuit.</span>
626|Toate aplicațiile se descarcă gratuit și în fiecare cel puțin un mod de a da alarma cu locația ta rămâne gratuit. AIuto SOS pentru Wear OS este complet gratuită; aplicațiile Android au 3 zile de probă completă, apoi funcțiile de urgență rămân gratuite; pe iPhone alarma pe Telegram cu locația ta este mereu gratuită.
627|Wear OS · AIuto SOS
628|Toate funcțiile incluse
629|Fără perioadă de probă limitată
630|Fără abonament și fără achiziții în aplicație
631|Aplicație autonomă pentru ceasuri inteligente Wear OS: funcționează chiar și fără smartphone.
632|Android · Proteggimi și AI help You
633|3 zile de probă, apoi urgență gratuită
634|Timp de 3 zile aplicația este completă. Apoi funcțiile de urgență rămân gratuite: expiră doar pornirea din butonul Avvia din Proteggimi sau Start din AI help You.
635|Pornire gratuită din notificarea permanentă și din butonul rapid de pe ecranul de pornire
636|Pornire gratuită de pe ceasul inteligent și, cu AI help You, de la button4help™
637|Odată pornită, ascultarea comenzilor vocale este activă
638|Cu Premium revine și pornirea din butonul Avvia/Start. Condițiile și prețul sunt indicate pe pagina fiecărei aplicații din Google Play.
639|Alarmă cu locație, mereu gratuită
640|Telegram cu locația ta din acel moment
641|Pornire și de pe Apple Watch
642|O singură achiziție în aplicație, mai multe funcții
643|Aplicație Wear OS dedicată, gratuită
644|¹ După cele 3 zile de probă, fără Premium butonul Avvia (Proteggimi) sau Start (AI help You) este inactiv; urgența pornește gratuit din butoanele de urgență rapidă.
645|² În Android Free, după pornirea dintr-un buton de urgență rapidă.
646|Descărcarea este gratuită și în fiecare aplicație să ceri ajutor cu locația ta rămâne gratuit. AIuto SOS watch4help™ pentru Wear OS este complet gratuită. Proteggimi și AI help You pentru Android oferă 3 zile de probă completă; apoi funcțiile de urgență rămân gratuite și expiră doar pornirea din butonul Avvia sau Start. Pe iPhone alarma pe Telegram cu locația ta, inclusiv live și de pe Apple Watch, este mereu gratuită; Siri, SMS, WhatsApp și apelul necesită o achiziție unică, fără abonament. <a href="versioni.html">Vezi comparația</a>.
600|<a class="link-arrow" href="https://apps.apple.com/app/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> pentru iPhone, în 12 limbi
647|Vizite pe site
648|<strong>O atingere pe ceasul inteligent, chiar și cu telefonul pe jos</strong>În timpul unei agresiuni ajunge o atingere pe ceas: Proteggimi anunță prietenii cu locația, ei sună poliția și ajutorul ajunge la timp. Scene de ficțiune, în scop demonstrativ; videoclipul are sunet.
649|AI help You în două afișe.
650|În imagini
651|Douăsprezece limbi, butonul button4help™ și o alarmă care pornește cu o simplă apăsare: afișele rezumă ce face aplicația și cum se descarcă.
652|<strong>AI help You</strong>Afișul în engleză: codul QR duce la aplicația din Google Play.
653|<strong>AI help You și button4help™</strong>Nu un localizator GPS, ci un buton de urgență inteligent. Infografic în engleză.
654|Afișul AI help You de Agostino Giorgio, Politecnico di Bari: scutul cu silueta feminină, codul QR pentru descărcarea aplicației din Google Play și, jos, un ceas inteligent cu tasta SOS, smartphone-ul cu aplicația și butonul button4help purtat la gât.
655|Infografic AI help You și button4help: aplicație de prevenire a violenței de gen în 12 limbi; nu un localizator GPS, ci un buton de urgență inteligent; o mână apasă butonul; etapele alertă trimisă, prietena primește notificarea, acțiune imediată; inovator, discret, ușor, purtabil, ușor de folosit, mereu cu tine.
656|<strong>De la alertă la ajutor</strong>button4help™ cu AI help You într-un infografic, în engleză.
657|Infografic vertical button4help cu AI help You: nu un localizator GPS, ci un buton de urgență inteligent; o mână apasă butonul lângă o geantă; etapele de la alertă la ajutor; inovator, discret, ușor, purtabil, ușor de folosit, mereu cu tine.
658|Imaginea-simbol a proiectului · ilustrație
659|no pAIn: never oppressed protected by Artificial Intelligence nonviolence system, cu inițialele evidențiate color.
660|Ilustrație: o femeie cu aspect futurist ridică mâna deschisă cu inscripția NO PAIN, printre circuite luminoase.
661|Pagina de titlu a articolului No Pain Device din revista Electronics (MDPI), 2024, volumul 13, numărul 9, 1766.
662|Pagina de titlu a articolului A Smart App for the Prevention of Gender-Based Violence din revista Electronics (MDPI), 2026, volumul 15, numărul 1, 197.
663|Tehnologiile proiectului, la dispoziția instituțiilor și companiilor
664|Tehnologie împotriva violenței de gen · proiectul no pAIn™ al Politecnico di Bari
665|Marcă: scut cu o siluetă feminină și inscripția no pAIn & watch4help technologies, by no pAIn project engineering.
666|Afișul „Tecnologia contro la violenza di genere” (Tehnologie împotriva violenței de gen), proiectul no pAIn al Politecnico di Bari: două mâini țin un smartphone cu scutul aplicației; jos, confidențialitate totală peer-to-peer, IA offline fără cloud și activare rapidă prin voce, atingere sau ceas inteligent.
667|<strong>Ceri ajutor cu vocea, fără să fii descoperită</strong>Telefonul i-a fost aruncat pe jos, dar femeia spune „non farlo” („nu face asta”), un cuvânt-cheie personalizat: Proteggimi recunoaște comanda vocală și trimite cererea de ajutor. Aceste cuvinte nu îl fac pe agresor să înțeleagă că alarma a fost dată, astfel încât el rămâne acolo și este arestat.
668|Proiect conceput și dezvoltat de <strong>Prof. Ing. Agostino Giorgio</strong><br>Cadru didactic la Politecnico di Bari
669|Cele trei caracteristici ale digital4help™
670|Confidențialitate totală, activare rapidă, inteligență artificială la bord.
671|<b>Comunicare directă, fără intermediari (P2P).</b> Ca să ceri ajutor nu treci prin servicii proprietare, dispecerate sau abonamente la servicii de urgență: alarma pleacă de pe dispozitivul tău direct către una sau două persoane de încredere, alese de tine când configurezi aplicația, împreună cu locația ta. Ele vin la tine sau anunță poliția, explicând cu calm toate detaliile necesare intervenției: acel calm pe care tu, în pericol, nu l-ai avea.
672|<b>Activare rapidă, din mai multe puncte.</b> În urgență nu e timp să scoți telefonul, să îl deblochezi și să deschizi aplicația. De aceea fiecare aplicație oferă mai multe moduri de a porni alarma: vocea, un buton din aplicația însoțitoare de pe ceasul inteligent sau butonul button4help™, un dispozitiv extern pe care îl porți la tine. Alarma pleacă și cu telefonul departe de mâini.
673|<b>Inteligență artificială care lucrează offline.</b> Cuvintele-cheie sunt recunoscute de inteligența artificială instalată pe dispozitiv, nu de un serviciu online: nimic nu este trimis în rețea pentru a înțelege că ceri ajutor, iar cererea de ajutor pleacă mai devreme.
674|<strong>Cele trei caracteristici într-un afiș</strong>Confidențialitate totală, IA offline și activare rapidă. În engleză.
675|Butonul care pornește alarma de la distanță, după asocierea cu aplicația. Se cumpără de la un comerciant extern.
676|Afișul Technology against gender-based violence, no pAIn Project from Poliba: două mâini țin un smartphone cu scutul aplicației, inscripțiile No Trace și Safe Zone și, jos, confidențialitate totală (P2P), inteligență artificială offline fără cloud și activare rapidă prin voce, atingere, ceas inteligent sau butonul button4help.
677|<b>Singur nu cere ajutor.</b> button4help™ este un buton Bluetooth al unui producător terț, nu un produs no pAIn™: devine declanșator de urgență doar după asocierea cu aplicația AI help You pe Android sau cu aplicația no pAIn™ (Proteggimi) pentru iPhone, de la versiunea 59 în sus.
678|Înainte să îl cumperi
679|Singur, butonul <span class="hl">nu face nimic.</span>
680|button4help™ este un simplu buton Bluetooth vândut într-un magazin online: nu are cartelă SIM, nu are un centru de asistență în spate și nu îți cunoaște locația. Funcțiile de urgență le oferă aplicația no pAIn™: ea recunoaște dispozitivul, îl acceptă ca declanșator și, la apăsare, trimite mesaje, locația și apeluri către contactele tale.
681|Fără asocierea cu aplicația, butonul nu are nicio funcție de ajutor.
682|Aplicațiile care îl recunosc
683|<a class="link-arrow" href="prodotti.html#ai-help-you">AI help You ↗</a> pentru Android
684|<a class="link-arrow" href="prodotti.html#no-pain-ios">no pAIn™ (Proteggimi) ↗</a> pentru iPhone, de la versiunea 59 în sus
685|Asocierea se face o singură dată, din aplicație, printr-o procedură ghidată de câțiva pași. Proteggimi pentru Android și AIuto SOS pentru Wear OS nu folosesc butonul.
686|AI help You (Android) și no pAIn™ (iPhone) de la versiunea 59, după asociere
687|Deschide AI help You pe Android sau no pAIn™ pentru iPhone, de la versiunea 59 în sus, și urmează procedura ghidată de asociere: câțiva pași, o singură dată. De atunci aplicația recunoaște butonul și îl acceptă ca declanșator. Apoi fă o probă stabilită dinainte cu contactele tale.
688|Merită cumpărat doar dacă folosești AI help You pe Android sau no pAIn™ pentru iPhone, de la versiunea 59 în sus: aceste aplicații îl transformă într-un declanșator de urgență. Singur, butonul nu cere ajutor nimănui.
689|De la dispozitivul tău la contactele tale, fără intermediari
690|Tehnologie peer-to-peer: ca să ceri ajutor nu treci prin servicii proprietare, dispecerate sau abonamente la servicii de urgență. Alarma, cu geolocalizarea, pleacă de pe dispozitivul tău direct către una sau două persoane de încredere, pe care le alegi când configurezi aplicația.
691|Ele decid cum să intervină: să vină personal sau să anunțe poliția, descriind cu calm toate detaliile utile intervenției. Este un calm pe care cine se află în pericol nu îl poate avea.
692|Fără cont, autentificare sau cloud propriu. Se aplică principiul minimizării datelor: dezvoltatorul declară că nu colectează date personale și nu le cedează terților; setările și contactele rămân pe dispozitiv.
693|În versiunile Android și în limbile acceptate, cuvintele-cheie sunt recunoscute de inteligența artificială instalată pe dispozitiv, nu de un serviciu online: nimic nu este trimis în rețea pentru a înțelege că ceri ajutor, iar ajutorul pornește mai repede.
694|Trimiterea alertelor cere în schimb conexiunile necesare canalului ales: date mobile, SMS sau telefonie.
695|Activare rapidă
696|Mai multe puncte de activare, pentru că timpul lipsește
697|Aplicațiile sunt gândite pentru urgență, când nu e timp să scoți telefonul, să îl deblochezi și să cauți aplicația. De aceea fiecare oferă mai multe moduri de a trimite cererea de ajutor.
698|Comenzi vocale, chiar și cu ecranul stins și telefonul la câțiva metri
699|Buton de urgență în aplicație, buton rapid pe ecranul de pornire și notificare permanentă
700|Aplicație însoțitoare pentru ceasuri inteligente sau aplicație autonomă pentru Wear OS
701|button4help™, butonul extern de ținut în buzunar, în geantă sau la gât
702|Butonul de ținut în buzunar care pornește alarma din AI help You și din no pAIn™ pentru iPhone, după asocierea cu aplicația: singur nu are funcții de urgență. Ce este, ce nu este și de unde se cumpără.
