ui.menu|Meny
471|På Wear OS kan du välja mellan telefonens följeslagarapp och den fristående AIuto SOS watch4help™, som använder klockans anslutning. Följeslagarappen för Apple Watch fungerar med den parkopplade iPhonen: Telegram och position kan skickas även med iPhone låst; för övriga Premium-åtgärder måste iPhone-appen vara i förgrunden. En egen AIutoSOS-app för Apple Watch är planerad.
472|Fungerar knappen utan mobil?
473|Nej. button4help™ styr en app i den parkopplade mobilen: telefonen måste vara påslagen och nåbar via Bluetooth. Behöver du en lösning utan telefon finns den fristående appen <a href="prodotti.html#aiuto-sos">AIuto SOS watch4help™</a> för Wear OS, vars funktioner beror på klockans anslutning.
474|Hur skiljer den sig från en AirTag eller en spårare?
475|GPS- eller Bluetooth-spårare används för att hitta föremål och djur via Apples AirTag-nätverk eller Androids nätverk. button4help™ går inte att lokalisera: det är en knapp som, intryckt i ett par sekunder, utlöser nödläget i appen. Den innehåller bara en Bluetooth Low Energy-modul och ett knappcellsbatteri, därför är den så liten. Den skiljer sig också från klassiska SOS-knappar för äldre.
476|Var köper jag den och vilka appar fungerar den med?
477|Den köps på <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a>, av en extern säljare: no pAIn™ säljer den inte. Den fungerar med AI help You på Android och med no pAIn™ på iPhone. Om du är osäker på kompatibiliteten med din telefon, <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">skriv till formgivaren</a>.
478|Bilderna på knappen visar den nuvarande enheten. Marknadsföringsbilderna med hjärthängen eller andra smycken visar designmöjligheter: tillgänglighet och egenskaper för dessa tillbehör måste bekräftas med formgivaren.
479|Anslutning och integritet
480|Betyder ”offline-AI” att ingen anslutning behövs?
481|Den lokala igenkänningen av nyckelord skickar inte ljud till en molntjänst. Att skicka larm är ett separat steg: Telegram och WhatsApp kräver internet; sms och samtal beror på nätet och operatörsabonnemanget. Anslutningen mellan tillbehör och telefon måste också finnas.
482|Spelas samtal in?
483|Utvecklaren uppger att mikrofonen används för lokal igenkänning av nyckelord, utan att ljud spelas in, och att kontakter och inställningar stannar på enheten. Larmen använder ändå externa tjänster, som teleoperatörer och Telegram, med egna integritetspolicyer. Läs <a href="https://poliba.wixsite.com/no_pain_privacy" target="_blank" rel="noopener">integritetspolicyn för respektive app</a>.
484|Behöver jag skapa ett konto?
485|Nej. Apparna kräver inget konto, ingen inloggning och inget eget moln: inställningar och kontakter stannar i din telefon.

486|Projektet i korthet
487|Artificiell intelligens mot könsrelaterat våld.
488|Den här affischen sammanfattar projektet no pAIn™: artificiell intelligens i förebyggandets tjänst, diskreta digitala verktyg som skyddar dig var du än är och en app för varje enhet, med följeslagarappar för smartklockor.
489|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">AIuto SOS — watch4help™ ↗</a> för Wear OS-klockor
490|<a class="link-arrow" href="https://apps.apple.com/it/app/no-pain/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> för iPhone, på 12 språk
491|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.nopain" target="_blank" rel="noopener">Proteggimi ↗</a> för Android, på italienska
492|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.helpyou" target="_blank" rel="noopener">AI help You ↗</a> för Android, på 12 språk
493|Tryck på affischen för att förstora den. Använd länkarna ovan för att ladda ned apparna.
494|<strong>Protect Your Freedom: AI Against Gender Violence</strong>Projektets affisch, på engelska.
495|Affisch för projektet no pAIn: Protect Your Freedom, AI Against Gender Violence. Den presenterar apparna AIuto SOS för smartklockor, no pAIn för iPhone, Proteggimi och AI help You för Android.
496|<strong>digital4help™: Digital protection against gender-based violence</strong>Projektets affisch, på engelska.
497|Affisch digital4help: Digital protection against gender-based violence. A new era has just begun. En sköld med en kvinnofigur mitt bland lysande kretsar, ovanför en mobil med appen no pAIn och en smartklocka med handsignalen för att be om hjälp; runt omkring orden IA Offline, Safe Zone, No Trace, SOS Wearable.
498|Demovideo
499|Proteggimi i praktiken.
500|Telefonen ligger på golvet, utom räckhåll, men hjälpmeddelandena skickas ändå. Vännerna får larmet med positionen: en av dem ringer polisen, som kommer i tid.
501|Spelade scener, i demonstrationssyfte. Videon har ljud.
502|Video
503|<strong>Be om hjälp utan att behöva prata</strong>Från faran till att hjälpen kommer, på 37 sekunder.
504|<strong>SOS från handleden, även med urtavlan avstängd</strong>Ett tryck på klockans knapp INVIO (skicka), eller ett röstkommando utan att röra urtavlan: vännerna får larmet, tillkallar hjälp och hjälpen kommer. Texterna i videon på italienska; spelade scener, i demonstrationssyfte.
505|<strong>Ett tryck, hjälpen kommer i tid</strong>Knappen startar AI help You: livepositionen når en vän, som ringer polisen. Texterna i videon på engelska.
506|<strong>I bilen, när man inte kan ta fram telefonen</strong>Bredvid en aggressiv man skulle varje rörelse mot mobilen märkas: det är då ett diskret tryck på button4help™ skickar hjälpbegäran. Spelad scen, i demonstrationssyfte.
507|Integritetspolicy <span class="arr">↗</span>
508|Skärmbilder
509|Så ser appen ut.
510|När du har godkänt användarvillkoren väljer du nödåtgärder i inställningarna och anger telefonnummer, chatt-ID:n i Telegram och hemliga nyckelord. Huvudsidan visar appens status och de aktiva nyckelorden.
511|<strong>Huvudsidan</strong>Knapparna Starta och Stoppa, manuell hjälpbegäran, aktiva nyckelord och bakgrundstjänst.
512|<strong>Nödåtgärderna</strong>Telegram, sms och samtal, med chatt-ID:n i Telegram och kontakternas nummer.
513|<strong>De personliga nyckelorden</strong>Upp till 3 egna hemliga ord, utöver de 4 förinställda.
514|Så ser iPhone-appen ut.
515|På huvudsidan finns den stora knappen NÖDLÄGE. I inställningarna anger du chatt-ID:n i Telegram och nödnummer, väljer vilka åtgärder som ska skickas och gör ett första test för att se att allt fungerar.
516|<strong>Huvudsidan</strong>Knappen NÖDLÄGE och påminnelsen om röstkommandot ”Hej Siri, Hjälp mig”.
517|<strong>Inställningarna</strong>Kontakter, nödåtgärder, test av appen och sammanfattning innan du sparar.
518|<strong>SOS från urtavlan</strong>Snabbknappen SOS på urtavlan startar nödläget med ett tryck.
519|<strong>watch4help™</strong>Den bärbara tekniken mot våld i projektet no pAIn™.
520|Redo
521|Lyssnar
522|Inställningar
523|Huvudsidan i Proteggimi: status Redo, knapparna Starta och Stoppa, knappen no pAIn hjälpbegäran, aktiva nyckelord och bakgrundstjänst.
524|Inställningar i Proteggimi: nödåtgärder (Telegram-meddelanden, sms, samtal), chatt-ID:n i Telegram och nödnummer.
525|Inställningar i Proteggimi: förinställda nyckelord och tre egna nyckelord, med sammanfattning av åtgärderna och knappen Spara inställningar.
526|Huvudsidan i no pAIn för iPhone: status Redo, röd knapp NÖDLÄGE för hjälpbegäran och påminnelse om röstkommandot ”Hej Siri, Hjälp mig”.
527|Inställningar i no pAIn för iPhone: chatt-ID:n i Telegram, nödnummer, åtgärder (Telegram, sms, WhatsApp, samtal), knappen Testa appen och sammanfattning.
528|Urtavla på en Wear OS-klocka med datum, tid och snabbknappen SOS längst ned.
529|Logotypen WATCH4HELP: en smartklocka med handsignalen för att be om hjälp och texten Bärbar teknik mot våld, no pAIn project engineering.
530|AI help App redo: grön knapp START och knapp för manuell hjälpbegäran.
531|AI help App lyssnar efter nyckelord: röd knapp STOP.
532|Inställningar i AI help App: åtgärderna Telegram, sms och samtal, med chatt-ID i Telegram.
533|Val av språk i AI help App: italienska, engelska, franska, tyska, spanska, turkiska, grekiska, portugisiska, rumänska, polska, nederländska, svenska.
534|<strong>Ingen GPS-spårare: en smart nödknapp</strong>Från projektets inlägg på Instagram. Affisch på engelska.
535|<strong>Parkoppling i appen</strong>I AI help You visas knappen bland de anslutna enheterna, med namnet AIhelpButton, bredvid smartklockan.
536|Affischen från Instagram-inlägget: button4help med AI help You, ”Not a GPS tracker. A smart emergency button.” En ung kvinna stoppar knappen i jeansfickan; nedanför stegen från larm till hjälp och egenskaperna: innovativ, diskret, lätt, bärbar, enkel att använda, alltid med dig.
537|Inställningar i AI help You: personliga nyckelord, språk för röstigenkänning och anslutna enheter, med alternativen Smartwatch och AIhelpButton.
538|På iPhone begränsas vissa funktioner av Apples regler: därför går röstkommandot via Siri, och sms, WhatsApp och samtal via genvägen ”Proteggimi”. Android-apparna erbjuder alla funktioner i den fullständiga versionen.
539|Larmkanaler
540|Allmänt
541|Peer-to-peer-teknik: larmet går från din telefon direkt till dina betrodda kontakter, utan konto, inloggning eller eget moln. Principen om dataminimering gäller: utvecklaren uppger att inga personuppgifter samlas in eller lämnas ut till tredje part; inställningar och kontakter stannar på enheten.
542|För att leverera larm och ta fram adressen används ändå de externa tjänster som appen förutsätter.
543|Teknisk tillförlitlighet
544|Larm levereras även med ojämn uppkoppling: skickas automatiskt igen så fort nätet är tillbaka
545|Livepositionen återupptas automatiskt efter varje avbrott, till exempel en omstart eller systemoptimeringar
546|Kontinuerlig drift i förgrunden, i bakgrunden och med skärmen avstängd, med statusen alltid synlig
547|Guidad återaktivering efter omstarter och uppdateringar, så att inställningarna inte går förlorade
548|Varje funktion kontrollerad med fälttester på riktiga mobiler och smartklockor
549|Den faktiska funktionen beror på version, behörigheter, nät och enhet.
550|Var det föddes
551|Vid Politecnico di Bari.
552|Projektet föddes vid institutionen för elektroteknik och informationsteknik vid Politecnico di Bari, i laboratoriet ELEDIGILAB för elektronik i digitala system och tillämpningar.
553|I pressen
554|De har skrivit om oss.
555|Tidningar och tv-kanaler som har berättat om projektet no pAIn™.
556|<b data-no-i18n="">BariToday</b> · Artikel · 3 mars 2026
557|Läs artikeln ↗
558|<b data-no-i18n="">TG Norba</b> · Tv-inslag · 19 december 2024
559|Projektet no pAIn™ i nyhetssändningen kl. 7.30.
560|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Video · 17 december 2023
561|Se videon ↗
562|<b data-no-i18n="">TVA · Acquedotto Pugliese</b> · Video
563|Att förebygga könsrelaterat våld med artificiell intelligens: intervju med professor Agostino Giorgio.
564|Logotypen för Politecnico di Bari
565|Logotypen för institutionen för elektroteknik och informationsteknik vid Politecnico di Bari
566|Logotypen för ELEDIGILAB, laboratoriet för elektronik i digitala system och tillämpningar
567|BariTodays artikel om appen för att be om hjälp som skapats vid Politecnico di Bari
568|TG Norbas inslag i sändningen kl. 7.30 den 19 december 2024
569|Sida i La Gazzetta del Mezzogiorno om armbandet med artificiell intelligens som konstruerats i Bari
570|Kan de användas även vid andra nödsituationer?
571|Ja. no pAIn™-tekniken skapades för att förebygga könsrelaterat våld, men dess mekanism, att genast larma betrodda kontakter med din position, hjälper i varje nödsituation där det är svårt att be om hjälp högt eller använda telefonen.
572|Be om hjälp från din mobil eller smartklocka utan att hantera dem: <span class="hl">det går</span>, med digital4help™-tekniken från projektet no pAIn™.
573|<strong>digital4help™</strong>, den nya eran av digitalt skydd: från universitetens forskningslaboratorier direkt till dina enheter.
574|no pAIn™ sätter artificiell intelligens i förebyggandets tjänst: diskreta digitala verktyg som skyddar dig var du än är och en app för varje enhet, med följeslagarappar för smartklockor.
575|Ladda ned appen för din enhet
576|Tryck på en bild för att förstora den.
577|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Artikel · augusti 2026
578|Peer-to-peer-teknik och offline-AI i säkerhetens tjänst: artikeln berättar om projektet no pAIn™, som föddes i laboratoriet ELEDIGILAB vid Politecnico di Bari, och dess två grundpelare, fullständig integritet och att be om hjälp utan att ens röra telefonen.
579|Se på Instagram ↗
580|Affischen no pAIn project av Agostino Giorgio, Politecnico di Bari: en sköld med en kvinnofigur, listan över de fyra apparna (Proteggimi för Android på italienska, AI help You för Android på 12 språk, AIuto SOS – watch4help för Wear OS-smartklockor, no pAIn för iOS) och längst ner en smartklocka med SOS-knappen, en smartphone med appen och button4help-knappen runt halsen.
581|<strong>no pAIn™ project: Technology that protects life</strong>Projektet och dess appar på en affisch, på engelska.
582|Gratis när det gäller
583|I farans stund <span class="hl">är det gratis att be om hjälp.</span>
584|Alla appar är gratis att ladda ned, och i varje app är minst ett sätt att larma med din position alltid gratis, även utan prenumeration.
585|Wear OS-smartklocka
586|gratis, alla funktioner
587|Helt gratis: ingen tidsbegränsad provperiod, ingen prenumeration och inga köp i appen. Larmet går från handleden, även utan smartphone.
588|Ladda ned nu →
589|3 dagar
590|full provperiod, sedan är nödlarmet fortsatt gratis
591|Proteggimi och AI help You
592|Efter provperioden upphör bara starten med knappen Avvia i Proteggimi eller Start i AI help You. Nödlarmet startar gratis från den beständiga aviseringen, snabbknappen på hemskärmen, smartklockan och, med AI help You, från button4help™. När det har startat lyssnar appen också på dina röstkommandon.
593|Ladda ned Proteggimi →
594|Ladda ned AI help You →
595|iPhone och Apple Watch
596|Alltid
597|gratis: larmet med din position
598|Larmmeddelandet på Telegram med din aktuella position och liveposition är alltid gratis och kan även starta från Apple Watch. Röstkommando, sms, WhatsApp och samtal läggs till med ett enda köp i appen, utan prenumeration.
599|Alla detaljer om vad som är gratis →
601|<strong>Alla är gratis att ladda ned</strong> och i varje app är det fortsatt gratis att be om hjälp med din position. <a class="link-arrow" href="versioni.html">Vad som är gratis i varje app →</a>
602|Nödlarm gratis
603|Ladda ned nu
604|Skanna koden med telefonens kamera eller tryck på märket.
605|Gratis vid nödläge
606|<strong>3 dagars provperiod med alla funktioner.</strong> Därefter är nödfunktionerna fortsatt gratis: bara starten med appens Start-knapp upphör.
607|Nödlarmet startar gratis från den beständiga aviseringen, snabbknappen på hemskärmen, smartklockan och button4help™
608|När det startats så slås även lyssningen efter röstkommandon på
609|AI help You larmar de kontakter du har ställt in. Appen kontaktar inte samhällets larmtjänster och ersätter dem inte. Efter de 3 dagarnas provperiod fungerar den gratis i snabbt nödläge: <a class="link-arrow" href="versioni.html">se Free och Premium</a>.
610|<strong>3 dagars provperiod med alla funktioner.</strong> Därefter är nödfunktionerna fortsatt gratis: bara starten med appens Avvia-knapp upphör.
611|Nödlarmet startar gratis från den beständiga aviseringen, snabbknappen på hemskärmen och smartklockan
612|Larm gratis
613|<strong>Alltid gratis: larmet med din position.</strong> Larmmeddelandet på Telegram skickas med din aktuella position och med liveposition i 30 minuter, även från Apple Watch.
614|Med ett enda köp i appen, utan prenumeration, lägger du till röstkommandot ”Hej Siri, Hjälp mig”, sms, WhatsApp, samtal och liveposition i upp till 24 timmar.
615|Allt gratis
616|Helt gratis
617|<strong>Alla funktioner är gratis.</strong> Ingen tidsbegränsad provperiod, ingen prenumeration och inga köp i appen.
618|QR-kod för att ladda ned AI help You från Google Play
619|Ladda ned på Google Play
620|QR-kod för att ladda ned Proteggimi från Google Play
621|QR-kod för att ladda ned no pAIn från App Store
622|Hämta i App Store
623|QR-kod för att ladda ned AIuto SOS från Google Play
624|QR-kod för att ladda ned AI help App från Google Play
625|Att be om hjälp <span class="hl">är alltid gratis.</span>
626|Alla appar är gratis att ladda ned, och i varje app är minst ett sätt att larma med din position fortsatt gratis. AIuto SOS för Wear OS är helt gratis; Android-apparna har 3 dagars full provperiod och därefter är nödfunktionerna fortsatt gratis; på iPhone är Telegram-larmet med din position alltid gratis.
627|Wear OS · AIuto SOS
628|Alla funktioner ingår
629|Ingen tidsbegränsad provperiod
630|Ingen prenumeration och inga köp i appen
631|Fristående app för Wear OS-smartklockor: den fungerar även utan smartphone.
632|Android · Proteggimi och AI help You
633|3 dagars prov, sedan nödlarm gratis
634|I 3 dagar är appen komplett. Därefter är nödfunktionerna fortsatt gratis: bara starten med knappen Avvia i Proteggimi eller Start i AI help You upphör.
635|Gratis start från den beständiga aviseringen och snabbknappen på hemskärmen
636|Gratis start från smartklockan och, med AI help You, från button4help™
637|När appen har startat är lyssningen efter röstkommandon aktiv
638|Med Premium kommer även starten med knappen Avvia/Start tillbaka. Villkor och pris står på respektive apps sida i Google Play.
639|Larm med position, alltid gratis
640|Telegram med din aktuella position
641|Start även från Apple Watch
642|Ett enda köp i appen, fler funktioner
643|Egen Wear OS-app, gratis
644|¹ Efter de 3 dagarnas provperiod är knappen Avvia (Proteggimi) eller Start (AI help You) inaktiv utan Premium; nödlarmet startar gratis från snabbknapparna för nödläge.
645|² I Android Free, efter start från en snabbknapp för nödläge.
646|Det är gratis att ladda ned dem, och i varje app är det fortsatt gratis att be om hjälp med din position. AIuto SOS watch4help™ för Wear OS är helt gratis. Proteggimi och AI help You för Android har 3 dagars full provperiod; därefter är nödfunktionerna fortsatt gratis och bara starten med knappen Avvia eller Start upphör. På iPhone är Telegram-larmet med din position, även live och från Apple Watch, alltid gratis; Siri, sms, WhatsApp och samtal kräver ett engångsköp, utan prenumeration. <a href="versioni.html">Se jämförelsen</a>.
600|<a class="link-arrow" href="https://apps.apple.com/app/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> för iPhone, på 12 språk
647|Besök på webbplatsen
648|<strong>Ett tryck på smartklockan, även när telefonen ligger på golvet</strong>Under en misshandel räcker det att trycka på klockan: Proteggimi larmar vännerna med positionen, de ringer polisen och hjälpen kommer i tid. Fiktiva scener i demonstrationssyfte; videon har ljud.
649|AI help You på två affischer.
650|I bilder
651|Tolv språk, knappen button4help™ och ett larm som startar med ett enkelt tryck: affischerna sammanfattar vad appen gör och hur du laddar ned den.
652|<strong>AI help You</strong>Affischen på engelska: QR-koden leder till appen i Google Play.
653|<strong>AI help You och button4help™</strong>Ingen GPS-spårare, utan en smart nödknapp. Infografik på engelska.
654|Affischen AI help You av Agostino Giorgio, Politecnico di Bari: skölden med kvinnofiguren, QR-koden för att ladda ned appen från Google Play och längst ner en smartklocka med SOS-knappen, smartphonen med appen och button4help-knappen runt halsen.
655|Infografik AI help You och button4help: app för att förebygga könsrelaterat våld på 12 språk; ingen GPS-spårare utan en smart nödknapp; en hand trycker på knappen; stegen larm skickat, väninnan får aviseringen, omedelbar åtgärd; innovativ, diskret, lätt, bärbar, lätt att använda, alltid med dig.
656|<strong>Från larm till hjälp</strong>button4help™ med AI help You i en infografik, på engelska.
657|Stående infografik button4help med AI help You: ingen GPS-spårare utan en smart nödknapp; en hand trycker på knappen bredvid en handväska; stegen från larm till hjälp; innovativ, diskret, lätt, bärbar, lätt att använda, alltid med dig.
658|Projektets symbolbild · illustration
659|no pAIn: never oppressed protected by Artificial Intelligence nonviolence system, med begynnelsebokstäverna färgmarkerade.
660|Illustration: en futuristisk kvinna höjer sin öppna hand med orden NO PAIN, bland lysande kretsar.
661|Titelsida för artikeln No Pain Device i tidskriften Electronics (MDPI), 2024, volym 13, nummer 9, 1766.
662|Titelsida för artikeln A Smart App for the Prevention of Gender-Based Violence i tidskriften Electronics (MDPI), 2026, volym 15, nummer 1, 197.
663|Projektets teknik, tillgänglig för organisationer och företag
664|Teknik mot könsrelaterat våld · projektet no pAIn™ från Politecnico di Bari
665|Varumärke: en sköld med en kvinnofigur och texten no pAIn & watch4help technologies, by no pAIn project engineering.
666|Affischen ”Tecnologia contro la violenza di genere” (Teknik mot könsrelaterat våld), projektet no pAIn från Politecnico di Bari: två händer håller en smartphone med appens sköld; längst ner total integritet via peer-to-peer, offline-AI utan moln och snabb aktivering med röst, beröring eller smartklocka.
667|<strong>Be om hjälp med rösten, utan att bli upptäckt</strong>Hennes telefon har slängts i golvet, men kvinnan säger ”non farlo” (”gör det inte”), ett personligt nyckelord: Proteggimi känner igen röstkommandot och skickar begäran om hjälp. Orden avslöjar inte för angriparen att larmet har gått, så han stannar kvar och grips.
668|Ett projekt utformat och utvecklat av <strong>professor, civilingenjör Agostino Giorgio</strong><br>Lärare vid Politecnico di Bari
669|De tre egenskaperna hos digital4help™
670|Fullständig integritet, snabb aktivering, artificiell intelligens ombord.
671|<b>Direkt kommunikation, utan mellanhänder (P2P).</b> För att be om hjälp går du inte via egna tjänster, larmcentraler eller abonnemang på larmtjänster: larmet går från din enhet direkt till en eller två betrodda kontakter, som du själv väljer när du ställer in appen, tillsammans med din position. Det är de som kommer till dig eller larmar polisen och lugnt förklarar alla detaljer som behövs för att ingripa — det lugn som du i fara inte skulle ha.
672|<b>Snabb aktivering, från flera håll.</b> I ett nödläge finns det ingen tid att ta fram telefonen, låsa upp den och öppna appen. Därför erbjuder varje app flera sätt att utlösa larmet: rösten, en knapp i följeappen på smartklockan eller knappen button4help™, en extern enhet du bär på dig. Larmet går även när telefonen är utom räckhåll.
673|<b>Artificiell intelligens som arbetar offline.</b> Nyckelorden känns igen av den artificiella intelligens som är installerad i enheten, inte av en onlinetjänst: ingenting skickas ut på nätet för att förstå att du ber om hjälp, och hjälpbegäran går i väg tidigare.
674|<strong>De tre egenskaperna på en affisch</strong>Fullständig integritet, offline-AI och snabb aktivering. På engelska.
675|Knappen som utlöser larmet på avstånd, när den har parats med appen. Den säljs av en utomstående återförsäljare.
676|Affischen Technology against gender-based violence, no pAIn Project from Poliba: två händer håller en smartphone med appens sköld, orden No Trace och Safe Zone och längst ner fullständig integritet (P2P), offline-AI utan moln och snabb aktivering med röst, beröring, smartklocka eller knappen button4help.
677|<b>Ensam ber den inte om hjälp.</b> button4help™ är en Bluetooth-knapp från en tredjepartstillverkare, inte en no pAIn™-produkt: den blir en nödutlösare först efter parkoppling med appen AI help You på Android eller appen no pAIn™ (Proteggimi) för iPhone, från version 59 och uppåt.
678|Innan du köper den
679|Ensam gör knappen <span class="hl">ingenting alls.</span>
680|button4help™ är en enkel Bluetooth-knapp som säljs i en webbutik: inget SIM-kort, ingen larmcentral bakom och den känner inte till din position. Nödfunktionerna kommer från appen no pAIn™: det är appen som känner igen enheten, accepterar den som utlösare och vid ett tryck skickar meddelanden, position och samtal till dina kontakter.
681|Utan parkoppling med appen har knappen ingen hjälpfunktion alls.
682|Apparna som känner igen den
683|<a class="link-arrow" href="prodotti.html#ai-help-you">AI help You ↗</a> för Android
684|<a class="link-arrow" href="prodotti.html#no-pain-ios">no pAIn™ (Proteggimi) ↗</a> för iPhone, från version 59 och uppåt
685|Parkopplingen görs en gång, från appen, med en guidad procedur på några steg. Proteggimi för Android och AIuto SOS för Wear OS använder inte knappen.
686|AI help You (Android) och no pAIn™ (iPhone) från version 59, efter parkoppling
687|Öppna AI help You på Android eller no pAIn™ för iPhone, från version 59 och uppåt, och följ den guidade parkopplingen: några steg, bara en gång. Därefter känner appen igen knappen och accepterar den som utlösare. Gör sedan ett test som du kommit överens om med dina kontakter.
688|Att köpa den är meningsfullt bara om du använder AI help You på Android eller no pAIn™ för iPhone, från version 59 och uppåt: det är apparna som gör den till en nödutlösare. Ensam ber knappen ingen om hjälp.
689|Från din enhet till dina kontakter, utan mellanhänder
690|Peer-to-peer-teknik: för att larma går du inte via egna tjänster, larmcentraler eller abonnemang på larmtjänster. Larmet går med positionen från din enhet direkt till en eller två betrodda kontakter, som du väljer när du ställer in appen.
691|Det är de som avgör hur de ingriper: komma till dig personligen eller larma polisen och lugnt beskriva alla detaljer som är till nytta vid insatsen. Det är ett lugn som den som är i fara inte kan ha.
692|Inget konto, ingen inloggning och inget eget moln. Principen om dataminimering gäller: utvecklaren uppger att inga personuppgifter samlas in eller lämnas vidare till tredje part; inställningar och kontakter stannar i enheten.
693|I Android-versionerna och på de språk som stöds känns nyckelorden igen av den artificiella intelligens som är installerad i enheten, inte av en onlinetjänst: ingenting skickas ut på nätet för att förstå att du ber om hjälp och hjälpen kommer i gång snabbare.
694|Att skicka larmen kräver däremot de anslutningar som den valda kanalen behöver: mobildata, sms eller telefoni.
695|Snabb aktivering
696|Flera aktiveringspunkter, eftersom tiden inte räcker
697|Apparna är gjorda för nödlägen, när det inte finns tid att ta fram telefonen, låsa upp den och leta efter appen. Därför erbjuder varje app flera sätt att skicka hjälpbegäran.
698|Röstkommandon, även med skärmen avstängd och telefonen några meter bort
699|Nödknapp i appen, snabbknapp på hemskärmen och beständig avisering
700|Följeapp för smartklockor eller fristående app för Wear OS
701|button4help™, den externa knappen att ha i fickan, i väskan eller runt halsen
702|Knappen du har i fickan som utlöser larmet i AI help You och i no pAIn™ för iPhone, när den har parats med appen: ensam har den inga nödfunktioner. Vad den är, vad den inte är och var den köps.
703|Ensam har den ingen nödfunktion alls: det är en Bluetooth-knapp från en tredjepartstillverkare och den blir en larmutlösare först efter parkoppling med appen, som görs en gång med en guidad procedur. Apparna som känner igen den är AI help You för Android och no pAIn™ (Proteggimi) för iPhone, från version 59 och uppåt. Den köps på <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a>, av en tredjepartssäljare: no pAIn™ säljer den inte. Om du är osäker på om den fungerar med din telefon, <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">skriv till konstruktören</a>.
704|Instagram-rutorna laddas från Instagrams servrar: när du öppnar sidan ansluter din webbläsare till dem.
705|Organisationer
706|Så fungerar tekniken →
707|no pAIn™ — Filmer och demos
708|Filmerna från projektet no pAIn™: positionen som offrets telefon skickar, apparnas demos, smartklockan och knappen button4help™.
709|Filmer och demos
710|Se vad som händer <span class="hl">när larmet går.</span>
711|Alla projektets filmer på en sida: fiktiva scener, inspelade i demonstrationssyfte, som visar hur no pAIn™-apparna ber om hjälp i ditt ställe och vad dina kontakter får.
712|Filmen att se först
713|Positionen skickas av din telefon, <span class="hl">inte av en larmcentral.</span>
714|Vid en kidnappning är tiden allt. I den vanliga kedjan måste du hinna ringa, förklara var du är och vänta på att larmcentralen lokaliserar telefonen. Med no pAIn™ behövs inte den delen: det är offrets egen enhet som skickar positionen, uppdaterad, till dem som ska ingripa.
715|<strong>Överfall och kidnappning: larmet går med positionen</strong>Reelen är publicerad på projektets Instagram-profil. Fiktiva scener, i demonstrationssyfte.
716|Varför den här detaljen kan rädda ett liv
717|<b>Inget samtal att ringa.</b> Den som överfalls eller förs bort hinner inte ringa, tala och beskriva var hon är. Larmet går med rösten, med en knapp eller med button4help™, utan att säga ett ord till någon.
718|<b>Positionen kommer färdig.</b> Koordinater, adress och kartlänk går från offrets telefon till de betrodda kontakterna, som kan skicka dem vidare till polisen direkt.
719|<b>Positionen fortsätter att uppdateras.</b> Om angriparen förflyttar sig ser den som hjälper vägen live: ingen jagar en punkt som är flera minuter gammal.
720|<b>Stegen som kostar tid hoppas över.</b> Ingen larmcentral behöver lokalisera telefonen: vid en kidnappning är den tiden skillnaden mellan att hinna fram och att komma för sent.
721|Apparnas demos
722|Fyra situationer, fyra sätt att be om hjälp.
723|Rösten, smartklockan, knappen i fickan: varje film visar en annan aktiveringspunkt och vad som händer på andra sidan, när kontakterna får larmet. Filmerna har ljud.
724|Fler filmer
725|button4help™-reelen och Instagram-profilen.
726|På projektets profil hittar du fler korta filmer, affischerna och nyheter om apparna.
727|Öppna Instagram <span class="arr">↗</span>
728|no pAIn-reel på Instagram: överfall och kidnappning, larmet går med positionen
729|Se filmerna <span class="arr">→</span>
730|Handboken
731|Handboken finns redan i appen, på klockan
732|På telefonen kan du installera samma guide som app: <a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">öppna den på Google Play ↗</a>
733|Från guiden på telefonen installerar du också appen på klockan, om du inte har den än
734|Handboken för Proteggimi för Android är en PDF på italienska: den öppnas i webbläsaren och går att spara. Avsnittet om Telegram förklarar hur du kopplar kontakterna till boten på några steg. Livepositionens längd varierar mellan apparna: se alternativen i appen du installerat.
735|Handbok Proteggimi, Android (PDF) <span class="arr">↗</span>
736|Telegram: så kopplar du dina kontakter (PDF) <span class="arr">↗</span>
737|Handbok Proteggimi för Android (PDF) ↗
738|Affischen digital4help: digitalt skydd mot könsrelaterat våld, en ny era har just börjat. En sköld med en kvinnofigur bland lysande kretsar och under den de tre sätten att be om hjälp: smartphone med en gest eller ett röstkommando, smartklockan AIuto SOS watch4help och knappen button4help nedtryckt i en sekund; längst ner offline-AI, Safe Zone, No Trace, bärbart SOS och webbplatsens QR-kod.
