ui.menu|Menü
409|Prüfen Sie Akku, Verbindung, Hintergrundaktivität und Kopplung des Zubehörs.
410|Vereinbarten Test machen
411|Informieren Sie Ihre Kontakte vorher, führen Sie den Test durch und prüfen Sie, ob Nachricht und Standort angekommen sind.
412|Verbindung und Datenschutz: Was Sie wissen sollten →
413|no pAIn™ — Technologie und Forschung
414|Technologie und wissenschaftliche Veröffentlichungen des Projekts no pAIn™ von Prof. Ing. Agostino Giorgio, Politecnico di Bari.
415|Von der Forschung <span class="hl">zum Hilferuf.</span>
416|no pAIn™ bedeutet <em>never oppressed protected by Artificial Intelligence Non violence system</em>. Das Projekt von Prof. Ing. Agostino Giorgio, Dozent am Politecnico di Bari, nutzt künstliche Intelligenz, Spracherkennung und Standortbestimmung für Hilferufe an Vertrauenskontakte.
417|Architektur
418|Von Ihrem Gerät zu Ihren Kontakten
419|Das Projekt beschreibt eine Architektur ohne Konto, Login oder eigene Cloud. Der Entwickler erklärt, keine personenbezogenen Daten zu erheben; Einstellungen und Kontakte bleiben auf dem Gerät. Für die Zustellung der Alarme und die Ermittlung der Adresse werden dennoch die in der App vorgesehenen externen Dienste genutzt.
420|Spracherkennung auf dem Gerät
421|In den Android-Versionen und in den freigeschalteten Sprachen funktioniert die Erkennung der Schlüsselwörter auch offline. Das Senden der Alarme erfordert dagegen die für den gewählten Kanal nötigen Verbindungen: mobile Daten, SMS oder Telefonie.
422|Zuverlässigkeit
423|Kontinuität und Wiederherstellung
424|Die Präsentation beschreibt das erneute Senden von Alarmen bei Rückkehr des Netzes, die Wiederaufnahme des Live-Standorts nach Unterbrechungen und die geführte Reaktivierung nach Neustarts oder Updates, mit Tests auf echten Smartphones und Smartwatches. Die tatsächliche Funktion hängt von Version, Berechtigungen, Netz und Gerät ab.
425|Veröffentlichungen
426|In einer Fachzeitschrift veröffentlicht.
427|Gerät und App sind in zwei frei zugänglichen Artikeln der internationalen Zeitschrift <em>Electronics</em> (MDPI) beschrieben.
430|Mehr über das Projekt
431|Die vollständige Präsentation.
432|Funktionsweise, Versionen, Bildschirmfotos und wissenschaftliche Quellen. PDF auf Italienisch, 23 Seiten.
433|PDF-Präsentation öffnen <span class="arr">↗</span>
434|Werbematerial des Projekts
435|Plakat des Projekts no pAIn von Agostino Giorgio, Politecnico di Bari: digital4help, digitaler Schutz, eine neue Ära für den Schutz von Frauen
436|no pAIn™ — Zusammenarbeit
437|Bringen Sie no pAIn™ in Ihre Organisation: Behörden, Vereine, Unternehmen und Sponsoren.
438|Bringen Sie no pAIn™ <span class="hl">in Ihre Organisation.</span>
439|Ein Werkzeug bereitzustellen ist der erste Schritt. Es bekannt zu machen, seine Nutzung zu erklären und es in ein Unterstützungsnetz einzubinden, ist ebenso wichtig.
440|Vorführung anfragen <span class="arr">↗</span>
441|Behörden
442|Lokale Initiativen und Pilotprojekte
443|Wir prüfen lokale Initiativen und Pilotprojekte, ausgehend von einer Vorführung und gemeinsamen Zielen.
444|Vereine
445|An der Seite derer, die die Bedürfnisse kennen
446|Ein Austausch mit Menschen, die täglich mit Betroffenen arbeiten, um Nutzen, Einsatzweisen und Grenzen des Werkzeugs zu verstehen.
447|Unternehmen und Sponsoren
448|Sensibilisierung und Unterstützung
449|Wir besprechen Angebote für Nutzergruppen, Sensibilisierungsaktionen und die Unterstützung lokaler Projekte.
450|Was wir mitbringen
451|Eine an der Universität entwickelte Technologie, sofort einsatzbereit.
452|Kostenlose Apps für Android, iPhone und Smartwatches, ein Knopf, den jeder kaufen kann, kein Konto und keine Cloud zu verwalten. Und ein in wissenschaftlichen Veröffentlichungen beschriebenes Projekt.
453|Eine Vorführung ist der beste Einstieg <span class="arr">↗</span>
454|PDF-Präsentation <span class="arr">↗</span>
455|Plakat: Proteggimi (no pAIn), die andere, intelligente App. Sofortige Hilfe, auch ohne das Smartphone zu berühren.
456|no pAIn™ — Häufige Fragen
457|Klare Antworten zu den no pAIn™-Apps, zu button4help™, zu Verbindung, Datenschutz und Kosten.
458|Einfache Fragen. <span class="hl">Klare Antworten.</span>
459|Lernen Sie vor der Wahl Funktionsweise und Nutzungsbedingungen kennen.
460|Warum nicht direkt die 112 anrufen?
461|Die 112 bleibt unverzichtbar – wenn Sie können, rufen Sie sie an. Doch in Gefahr ist es oft unmöglich, mit einer Leitstelle zu sprechen, die Lage zu erklären und zu sagen, wo man ist. Genau dafür gibt es die no pAIn™-Apps: Mit einem Wort oder einer unauffälligen Berührung benachrichtigen sie zwei Vertrauenspersonen mit Ihrem Standort, und diese rufen die Polizei.
462|Wer erhält den Hilferuf?
463|Die zwei Notfallkontakte, die Sie in der App festgelegt haben, Angehörige oder Freunde. Je nach App können Sie SMS, WhatsApp (iPhone), Telegram und Anrufe aktivieren. Die Apps kontaktieren keine öffentlichen Notdienste.
464|Kann ich sie mit einem iPhone nutzen?
465|Ja: no pAIn™ (Proteggimi) ist im App Store erhältlich, in 12 Sprachen und mit Begleit-App für die Apple Watch. Die kostenlose Version umfasst SOS und Telegram; Premium ergänzt Siri, SMS, WhatsApp und Anrufe über Kurzbefehle. <a href="versioni.html">Zum Vergleich</a>.
466|Was kosten sie?
467|Unter iOS sind Download und Free-Funktionen kostenlos; Premium erfordert einen einmaligen Kauf, ohne Abo. Unter Android bleiben die Schnellnotfall-Knöpfe kostenlos, mit den im <a href="versioni.html">Vergleich</a> gezeigten Einschränkungen. Die Preise der Apps finden Sie in den Stores.
468|Bleibt der Standort in jeder App 24 Stunden sichtbar?
469|Die Dauer hängt von App und Version ab. Unter iOS Free sind es 30 Minuten; unter iOS Premium 1 Minute bis 24 Stunden. AI help You reicht bis zu 24 Stunden; Proteggimi Android und AIuto SOS watch4help™ nennen 30 bzw. 60 Minuten. Prüfen Sie die Optionen der installierten App.
470|Muss die Smartwatch immer in der Nähe des Telefons sein?
471|Unter Wear OS können Sie zwischen der Begleit-App des Telefons und der eigenständigen App AIuto SOS watch4help™ wählen, die die Verbindung der Uhr nutzt. Die Begleit-App für die Apple Watch arbeitet mit dem gekoppelten iPhone: Telegram und Standort können auch bei gesperrtem iPhone starten; für die übrigen Premium-Aktionen muss die iPhone-App im Vordergrund sein. Eine eigene App AIutoSOS für die Apple Watch ist geplant.
472|Funktioniert der Knopf ohne Smartphone?
473|Nein. button4help™ steuert eine App auf dem gekoppelten Smartphone: Das Telefon muss eingeschaltet und per Bluetooth erreichbar sein. Wenn Sie eine Lösung ohne Telefon brauchen, gibt es die eigenständige App <a href="prodotti.html#aiuto-sos">AIuto SOS watch4help™</a> für Wear OS, deren Funktionen von der Verbindung der Uhr abhängen.
474|Worin unterscheidet er sich von einem AirTag oder Tracker?
475|GPS- oder Bluetooth-Tracker dienen dazu, Gegenstände und Haustiere über Apples AirTag-Netzwerk oder das Android-Netzwerk wiederzufinden. button4help™ lässt sich nicht orten: Es ist ein Knopf, der nach einigen Sekunden Druck den Notfall in der App auslöst. Er enthält nur ein Bluetooth-Low-Energy-Modul und eine Knopfzelle, deshalb ist er so klein. Er unterscheidet sich auch von klassischen SOS-Knöpfen für Senioren.
476|Wo kaufe ich ihn und mit welchen Apps funktioniert er?
477|Er ist bei <a href="https://it.aliexpress.com/item/1005008509583971.html" target="_blank" rel="noopener">AliExpress</a> von einem Drittanbieter erhältlich: no pAIn™ verkauft ihn nicht. Er funktioniert mit AI help You unter Android und mit no pAIn™ auf dem iPhone. Bei Fragen zur Kompatibilität mit Ihrem Telefon <a href="mailto:agostino.giorgio@poliba.it" data-mail="private">schreiben Sie dem Entwickler</a>.
478|Die Fotos des Knopfs zeigen das aktuelle Gerät. Die Werbebilder mit Herzanhängern oder anderem Schmuck zeigen Designmöglichkeiten: Verfügbarkeit und Eigenschaften dieses Zubehörs sind mit dem Entwickler abzuklären.
479|Verbindung und Datenschutz
480|Bedeutet „Offline-KI“, dass keine Verbindung nötig ist?
481|Die lokale Erkennung der Schlüsselwörter sendet kein Audio an einen Cloud-Dienst. Das Senden der Alarme ist ein anderer Schritt: Telegram und WhatsApp brauchen Internet; SMS und Anrufe hängen vom Netz und vom Mobilfunktarif ab. Auch die Verbindung zwischen Zubehör und Telefon muss bestehen.
482|Werden Gespräche aufgezeichnet?
483|Der Entwickler erklärt, dass das Mikrofon der lokalen Erkennung der Schlüsselwörter dient, ohne Audio aufzuzeichnen, und dass Kontakte und Einstellungen auf dem Gerät bleiben. Die Alarme nutzen dennoch externe Dienste wie Mobilfunkanbieter und Telegram, mit deren eigenen Datenschutzhinweisen. Lesen Sie die <a href="https://poliba.wixsite.com/no_pain_privacy" target="_blank" rel="noopener">Datenschutzerklärung der jeweiligen App</a>.
484|Muss ich ein Konto anlegen?
485|Nein. Die Apps benötigen kein Konto, keinen Login und keine eigene Cloud: Einstellungen und Kontakte bleiben auf Ihrem Telefon.

486|Das Projekt auf einen Blick
487|Künstliche Intelligenz gegen geschlechtsspezifische Gewalt.
488|Dieses Plakat fasst das Projekt no pAIn™ zusammen: künstliche Intelligenz im Dienst der Prävention, unauffällige digitale Werkzeuge, die Sie überall schützen, und eine App für jedes Gerät, mit Begleit-Apps für Smartwatches.
489|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">AIuto SOS — watch4help™ ↗</a> für Wear-OS-Smartwatches
490|<a class="link-arrow" href="https://apps.apple.com/it/app/no-pain/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> für iPhone, in 12 Sprachen
491|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.nopain" target="_blank" rel="noopener">Proteggimi ↗</a> für Android, auf Italienisch
492|<a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.helpyou" target="_blank" rel="noopener">AI help You ↗</a> für Android, in 12 Sprachen
493|Tippen Sie auf das Plakat, um es zu vergrößern. Die Apps laden Sie über die Links oben.
494|<strong>Protect Your Freedom: AI Against Gender Violence</strong>Das Projektplakat, auf Englisch.
495|Plakat des Projekts no pAIn: Protect Your Freedom, AI Against Gender Violence. Es stellt die Apps AIuto SOS für Smartwatches, no pAIn für iPhone, Proteggimi und AI help You für Android vor.
496|<strong>digital4help™: Digital protection against gender-based violence</strong>Das Projektplakat, auf Englisch.
497|Plakat digital4help: Digital protection against gender-based violence. A new era has just begun. Ein Schild mit einer Frauenfigur inmitten leuchtender Schaltkreise, darunter ein Smartphone mit der App no pAIn und eine Smartwatch mit dem Handzeichen für Hilfe; ringsum die Wörter IA Offline, Safe Zone, No Trace, SOS Wearable.
498|Demovideo
499|Proteggimi im Einsatz.
500|Das Telefon liegt auf dem Boden, außer Reichweite, und trotzdem gehen die Hilferufe hinaus. Freunde erhalten den Alarm mit dem Standort: Einer ruft die Polizei, die rechtzeitig eintrifft.
501|Gestellte Szenen zu Demonstrationszwecken. Das Video hat Ton.
502|Video
503|<strong>Hilfe rufen, ohne sprechen zu müssen</strong>Von der Gefahr bis zum Eintreffen der Hilfe, in 37 Sekunden.
504|<strong>SOS vom Handgelenk, auch bei ausgeschaltetem Zifferblatt</strong>Eine Berührung des Knopfs INVIO (Senden) auf der Uhr oder ein Sprachbefehl, ohne das Zifferblatt zu berühren: Freunde erhalten den Alarm, rufen Hilfe und die Hilfe kommt. Texte im Video auf Italienisch; gestellte Szenen zu Demonstrationszwecken.
505|<strong>Ein Druck, die Hilfe kommt rechtzeitig</strong>Der Knopf startet AI help You: Der Live-Standort erreicht eine Freundin, die die Polizei ruft. Texte im Video auf Englisch.
506|<strong>Im Auto, wenn man nicht zum Telefon greifen kann</strong>Neben einem aggressiven Mann würde jede Bewegung zum Smartphone bemerkt: In diesem Moment sendet ein unauffälliger Druck auf button4help™ den Hilferuf. Gestellte Szene zu Demonstrationszwecken.
507|Datenschutzerklärung <span class="arr">↗</span>
508|Bildschirmfotos
509|So sieht die App aus.
510|Nachdem Sie die Nutzungsbedingungen akzeptiert haben, wählen Sie in den Einstellungen die Notfallaktionen und geben Telefonnummern, Telegram-Chat-IDs und geheime Schlüsselwörter ein. Die Hauptseite zeigt den Status der App und die aktiven Schlüsselwörter.
511|<strong>Die Hauptseite</strong>Start- und Stopp-Knopf, manueller Hilferuf, aktive Schlüsselwörter und Hintergrunddienst.
512|<strong>Die Notfallaktionen</strong>Telegram, SMS und Anrufe, mit den Telegram-Chat-IDs und den Nummern der Kontakte.
513|<strong>Die persönlichen Schlüsselwörter</strong>Bis zu 3 eigene geheime Wörter, zusätzlich zu den 4 vorgegebenen.
514|So sieht die iPhone-App aus.
515|Auf der Hauptseite befindet sich der große NOTFALL-Knopf. In der Einrichtung geben Sie die Telegram-Chat-IDs und Notfallnummern ein, wählen die zu sendenden Aktionen und machen einen ersten Test, ob alles funktioniert.
516|<strong>Die Hauptseite</strong>Der NOTFALL-Knopf und der Hinweis auf den Sprachbefehl „Hey Siri, Hilf mir“.
517|<strong>Die Einrichtung</strong>Kontakte, Notfallaktionen, Test der App und Zusammenfassung vor dem Speichern.
518|<strong>SOS vom Zifferblatt</strong>Der SOS-Schnellknopf auf dem Zifferblatt startet den Notfall mit einer Berührung.
519|<strong>watch4help™</strong>Die tragbare Technologie gegen Gewalt aus dem Projekt no pAIn™.
520|Bereit
521|Hört zu
522|Einstellungen
523|Hauptseite von Proteggimi: Status Bereit, Start- und Stopp-Knopf, Knopf no pAIn Hilferuf, aktive Schlüsselwörter und Hintergrunddienst.
524|Einstellungen von Proteggimi: Notfallaktionen (Telegram-Nachrichten, SMS, Anrufe), Telegram-Chat-IDs und Notfallnummern.
525|Einstellungen von Proteggimi: vorgegebene Schlüsselwörter und drei eigene Schlüsselwörter, mit Zusammenfassung der Aktionen und dem Knopf Konfiguration speichern.
526|Hauptseite von no pAIn für iPhone: Status Bereit, roter NOTFALL-Knopf für den Hilferuf und Hinweis auf den Sprachbefehl „Hey Siri, Hilf mir“.
527|Einrichtung von no pAIn für iPhone: Telegram-Chat-IDs, Notfallnummern, Aktionen (Telegram, SMS, WhatsApp, Anruf), Knopf App testen und Zusammenfassung.
528|Zifferblatt einer Wear-OS-Smartwatch mit Datum, Uhrzeit und dem SOS-Schnellknopf unten.
529|Logo WATCH4HELP: eine Smartwatch mit dem Handzeichen für Hilfe und dem Schriftzug Tragbare Technologie gegen Gewalt, no pAIn project engineering.
530|AI help App bereit: grüner START-Knopf und Knopf für den manuellen Hilferuf.
531|AI help App hört auf Schlüsselwörter: roter STOP-Knopf.
532|Einstellungen von AI help App: Aktionen Telegram, SMS und Anrufe, mit der Telegram-Chat-ID.
533|Sprachauswahl in AI help App: Italienisch, Englisch, Französisch, Deutsch, Spanisch, Türkisch, Griechisch, Portugiesisch, Rumänisch, Polnisch, Niederländisch, Schwedisch.
534|<strong>Kein GPS-Tracker: ein intelligenter Notfallknopf</strong>Aus dem Instagram-Beitrag des Projekts. Plakat auf Englisch.
535|<strong>Die Kopplung in der App</strong>In AI help You erscheint der Knopf unter den verbundenen Geräten, mit dem Namen AIhelpButton, neben der Smartwatch.
536|Plakat des Instagram-Beitrags: button4help mit AI help You, „Not a GPS tracker. A smart emergency button.“ Eine junge Frau steckt den Knopf in die Tasche ihrer Jeans; darunter die Schritte vom Alarm zur Hilfe und die Eigenschaften: innovativ, unauffällig, leicht, tragbar, einfach zu bedienen, immer dabei.
537|Einstellungen von AI help You: persönliche Schlüsselwörter, Sprache der Spracherkennung und verbundene Geräte, mit den Optionen Smartwatch und AIhelpButton.
538|Auf dem iPhone sind einige Funktionen durch Apples Regeln eingeschränkt: Deshalb läuft der Sprachbefehl über Siri und SMS, WhatsApp und Anrufe über den Kurzbefehl „Proteggimi“. Die Android-Apps bieten in der Vollversion alle Funktionen.
539|Alarmkanäle
540|Allgemein
541|Peer-to-Peer-Technologie: Der Alarm geht von Ihrem Telefon direkt an Ihre Vertrauenskontakte, ohne Konto, Login oder eigene Cloud. Es gilt das Prinzip der Datenminimierung: Der Entwickler erklärt, keine personenbezogenen Daten zu erheben und nichts an Dritte weiterzugeben; Einstellungen und Kontakte bleiben auf dem Gerät.
542|Für die Zustellung der Alarme und die Ermittlung der Adresse werden dennoch die in der App vorgesehenen externen Dienste genutzt.
543|Technische Zuverlässigkeit
544|Alarme werden auch bei unterbrochener Verbindung zugestellt: automatisches erneutes Senden, sobald das Netz zurück ist
545|Live-Standort wird nach jeder Unterbrechung automatisch fortgesetzt, etwa nach einem Neustart oder Systemoptimierungen
546|Dauerbetrieb im Vordergrund, im Hintergrund und bei ausgeschaltetem Bildschirm, mit stets sichtbarem Status
547|Geführte Reaktivierung nach Neustarts und Updates, damit die Einrichtung nicht verloren geht
548|Jede Funktion in Praxistests auf echten Smartphones und Smartwatches geprüft
549|Die tatsächliche Funktion hängt von Version, Berechtigungen, Netz und Gerät ab.
550|Wo es entstanden ist
551|Am Politecnico di Bari.
552|Das Projekt ist am Fachbereich Elektrotechnik und Informationstechnik des Politecnico di Bari entstanden, im Labor ELEDIGILAB für Elektronik digitaler Systeme und Anwendungen.
553|Pressespiegel
554|Darüber wurde berichtet.
555|Zeitungen und Fernsehsender, die über das Projekt no pAIn™ berichtet haben.
556|<b data-no-i18n="">BariToday</b> · Artikel · 3. März 2026
557|Artikel lesen ↗
558|<b data-no-i18n="">TG Norba</b> · TV-Beitrag · 19. Dezember 2024
559|Das Projekt no pAIn™ in der Nachrichtensendung um 7.30 Uhr.
560|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Video · 17. Dezember 2023
561|Video ansehen ↗
562|<b data-no-i18n="">TVA · Acquedotto Pugliese</b> · Video
563|Geschlechtsspezifische Gewalt mit künstlicher Intelligenz verhindern: Interview mit Prof. Ing. Agostino Giorgio.
564|Logo des Politecnico di Bari
565|Logo des Fachbereichs Elektrotechnik und Informationstechnik des Politecnico di Bari
566|Logo von ELEDIGILAB, Labor für Elektronik digitaler Systeme und Anwendungen
567|Artikel von BariToday über die am Politecnico di Bari entwickelte Hilferuf-App
568|Beitrag von TG Norba in der Sendung um 7.30 Uhr am 19. Dezember 2024
569|Seite der Gazzetta del Mezzogiorno über das in Bari entwickelte Armband mit künstlicher Intelligenz
570|Kann man sie auch für andere Notfälle nutzen?
571|Ja. Die no pAIn™-Technologie wurde zur Prävention geschlechtsspezifischer Gewalt entwickelt, aber ihr Prinzip, Vertrauenskontakte sofort mit dem Standort zu benachrichtigen, hilft in jedem Notfall, in dem es schwer ist, laut um Hilfe zu rufen oder das Telefon zu benutzen.
572|Hilfe rufen über Smartphone oder Smartwatch, ohne sie bedienen zu müssen: <span class="hl">Das geht</span>, mit der digital4help™-Technologie des Projekts no pAIn™.
573|<strong>digital4help™</strong>, die neue Ära des digitalen Schutzes: aus universitären Forschungslaboren direkt auf Ihre Geräte.
574|no pAIn™ stellt künstliche Intelligenz in den Dienst der Prävention: unauffällige digitale Werkzeuge, die Sie überall schützen, und eine App für jedes Gerät, mit Begleit-Apps für Smartwatches.
575|Laden Sie die App für Ihr Gerät
576|Tippen Sie auf ein Bild, um es zu vergrößern.
577|<b data-no-i18n="">La Gazzetta del Mezzogiorno</b> · Artikel · August 2026
578|Peer-to-Peer-Technologie und Offline-KI im Dienst der Sicherheit: Der Artikel stellt das Projekt no pAIn™ vor, entstanden im Labor ELEDIGILAB des Politecnico di Bari, und seine zwei Säulen: vollständige Privatsphäre und Hilferuf auch ohne das Telefon zu berühren.
579|Auf Instagram ansehen ↗
580|Plakat no pAIn project von Agostino Giorgio, Politecnico di Bari: ein Schild mit einer weiblichen Figur, die Liste der vier Apps (Proteggimi für Android auf Italienisch, AI help You für Android in 12 Sprachen, AIuto SOS – watch4help für Wear-OS-Smartwatches, no pAIn für iOS) und unten eine Smartwatch mit SOS-Taste, ein Smartphone mit der App und der button4help-Knopf als Anhänger um den Hals.
581|<strong>no pAIn™ project: Technology that protects life</strong>Das Projekt und seine Apps auf einem Plakat, auf Englisch.
582|Kostenlos, wenn es darauf ankommt
583|In der Gefahr gilt: <span class="hl">Hilfe rufen ist kostenlos.</span>
584|Alle Apps lassen sich kostenlos herunterladen, und in jeder bleibt mindestens ein Weg, mit Ihrem Standort Alarm auszulösen, immer kostenlos, auch ohne Abo.
585|Wear-OS-Smartwatch
586|kostenlos, alle Funktionen
587|Komplett kostenlos: keine zeitlich begrenzte Testphase, kein Abo und keine In-App-Käufe. Der Alarm startet am Handgelenk, auch ohne Smartphone.
588|Jetzt herunterladen →
589|3 Tage
590|volle Testphase, danach bleibt der Notfall kostenlos
591|Proteggimi und AI help You
592|Nach der Testphase läuft nur der Start über den Knopf Avvia in Proteggimi bzw. Start in AI help You ab. Der Notfall startet kostenlos über die dauerhafte Benachrichtigung, den Schnellknopf auf dem Startbildschirm, die Smartwatch und, bei AI help You, über button4help™. Einmal gestartet, hört die App auch auf Ihre Sprachbefehle.
593|Proteggimi herunterladen →
594|AI help You herunterladen →
595|iPhone und Apple Watch
596|Immer
597|kostenlos: der Alarm mit Standort
598|Die Alarmnachricht über Telegram mit Ihrem aktuellen Standort und dem Live-Standort ist immer kostenlos und startet auch von der Apple Watch. Sprachbefehl, SMS, WhatsApp und Anruf kommen mit einem einmaligen In-App-Kauf hinzu, ohne Abo.
599|Alle Details, was kostenlos ist →
601|<strong>Alle lassen sich kostenlos herunterladen</strong>, und in jeder bleibt Hilfe rufen mit Ihrem Standort kostenlos. <a class="link-arrow" href="versioni.html">Was in jeder App kostenlos ist →</a>
602|Notfall kostenlos
603|Jetzt herunterladen
604|Scannen Sie den Code mit der Kamera Ihres Telefons oder tippen Sie auf das Banner.
605|Kostenlos im Notfall
606|<strong>3 Tage Testphase mit allen Funktionen.</strong> Danach bleiben die Notfallfunktionen kostenlos: Nur der Start über den Knopf Start der App läuft ab.
607|Der Notfall startet kostenlos über die dauerhafte Benachrichtigung, den Schnellknopf auf dem Startbildschirm, die Smartwatch und button4help™
608|Einmal so gestartet, wird auch das Zuhören auf Sprachbefehle aktiviert
609|AI help You benachrichtigt die eingerichteten Kontakte. Sie kontaktiert keine öffentlichen Notdienste und ersetzt sie nicht. Nach den 3 Tagen Testphase funktioniert sie kostenlos im Schnellnotfall-Modus: <a class="link-arrow" href="versioni.html">siehe Free und Premium</a>.
610|<strong>3 Tage Testphase mit allen Funktionen.</strong> Danach bleiben die Notfallfunktionen kostenlos: Nur der Start über den Knopf Avvia der App läuft ab.
611|Der Notfall startet kostenlos über die dauerhafte Benachrichtigung, den Schnellknopf auf dem Startbildschirm und die Smartwatch
612|Alarm kostenlos
613|<strong>Immer kostenlos: der Alarm mit Ihrem Standort.</strong> Die Alarmnachricht über Telegram geht mit Ihrem aktuellen Standort und 30 Minuten Live-Standort hinaus, auch von der Apple Watch.
614|Mit einem einmaligen In-App-Kauf ohne Abo kommen der Sprachbefehl „Hey Siri, Hilf mir“, SMS, WhatsApp, Anruf und der Live-Standort bis zu 24 Stunden hinzu.
615|Alles kostenlos
616|Komplett kostenlos
617|<strong>Alle Funktionen sind kostenlos.</strong> Keine zeitlich begrenzte Testphase, kein Abo und keine In-App-Käufe.
618|QR-Code zum Herunterladen von AI help You bei Google Play
619|Jetzt bei Google Play
620|QR-Code zum Herunterladen von Proteggimi bei Google Play
621|QR-Code zum Herunterladen von no pAIn im App Store
622|Laden im App Store
623|QR-Code zum Herunterladen von AIuto SOS bei Google Play
624|QR-Code zum Herunterladen von AI help App bei Google Play
625|Hilfe rufen <span class="hl">ist immer kostenlos.</span>
626|Alle Apps lassen sich kostenlos herunterladen, und in jeder bleibt mindestens ein Weg, mit Ihrem Standort Alarm auszulösen, kostenlos. AIuto SOS für Wear OS ist ganz kostenlos; die Android-Apps haben 3 Tage volle Testphase, danach bleiben die Notfallfunktionen kostenlos; auf dem iPhone ist der Telegram-Alarm mit Ihrem Standort immer kostenlos.
627|Wear OS · AIuto SOS
628|Alle Funktionen inklusive
629|Keine zeitlich begrenzte Testphase
630|Kein Abo und keine In-App-Käufe
631|Eigenständige App für Wear-OS-Smartwatches: Sie funktioniert auch ohne Smartphone.
632|Android · Proteggimi und AI help You
633|3 Tage Testphase, danach Notfall kostenlos
634|3 Tage lang ist die App vollständig. Danach bleiben die Notfallfunktionen kostenlos: Nur der Start über den Knopf Avvia in Proteggimi bzw. Start in AI help You läuft ab.
635|Kostenloser Start über die dauerhafte Benachrichtigung und den Schnellknopf auf dem Startbildschirm
636|Kostenloser Start über die Smartwatch und, bei AI help You, über button4help™
637|Einmal gestartet, ist das Zuhören auf Sprachbefehle aktiv
638|Mit Premium ist auch der Start über den Knopf Avvia/Start wieder möglich. Bedingungen und Preis stehen auf der Google-Play-Seite der jeweiligen App.
639|Alarm mit Standort, immer kostenlos
640|Telegram mit Ihrem aktuellen Standort
641|Start auch von der Apple Watch
642|Ein einziger In-App-Kauf, mehr Funktionen
643|Eigene Wear-OS-App, kostenlos
644|¹ Nach den 3 Tagen Testphase ist ohne Premium der Knopf Avvia (Proteggimi) bzw. Start (AI help You) inaktiv; der Notfall startet kostenlos über die Schnellnotfall-Knöpfe.
645|² In Android Free nach dem Start über einen Schnellnotfall-Knopf.
646|Das Herunterladen ist kostenlos, und in jeder App bleibt Hilfe rufen mit Ihrem Standort kostenlos. AIuto SOS watch4help™ für Wear OS ist komplett kostenlos. Proteggimi und AI help You für Android bieten 3 Tage volle Testphase; danach bleiben die Notfallfunktionen kostenlos, und nur der Start über den Knopf Avvia bzw. Start läuft ab. Auf dem iPhone ist der Telegram-Alarm mit Ihrem Standort, auch live und von der Apple Watch, immer kostenlos; Siri, SMS, WhatsApp und Anruf erfordern einen einmaligen Kauf, ohne Abo. <a href="versioni.html">Zum Vergleich</a>.
600|<a class="link-arrow" href="https://apps.apple.com/app/id6756390159" target="_blank" rel="noopener">no pAIn™ ↗</a> für iPhone, in 12 Sprachen
647|Besuche der Website
648|<strong>Ein Tippen auf die Smartwatch, auch wenn das Telefon am Boden liegt</strong>Bei einem Angriff genügt ein Tippen auf die Uhr: Proteggimi benachrichtigt die Freunde mit dem Standort, sie rufen die Polizei und die Hilfe kommt rechtzeitig. Gestellte Szenen zu Demonstrationszwecken; das Video hat Ton.
649|AI help You auf zwei Plakaten.
650|In Bildern
651|Zwölf Sprachen, der Knopf button4help™ und ein Alarm, der mit einem einfachen Druck startet: Die Plakate fassen zusammen, was die App kann und wie man sie herunterlädt.
652|<strong>AI help You</strong>Das Plakat auf Englisch: Der QR-Code führt zur App bei Google Play.
653|<strong>AI help You und button4help™</strong>Kein GPS-Tracker, sondern ein intelligenter Notfallknopf. Infografik auf Englisch.
654|Plakat AI help You von Agostino Giorgio, Politecnico di Bari: das Schild mit der weiblichen Figur, der QR-Code zum Herunterladen der App bei Google Play und unten eine Smartwatch mit SOS-Taste, das Smartphone mit der App und der button4help-Knopf als Anhänger um den Hals.
655|Infografik AI help You und button4help: App zur Prävention geschlechtsspezifischer Gewalt in 12 Sprachen; kein GPS-Tracker, sondern ein intelligenter Notfallknopf; eine Hand drückt den Knopf; die Schritte Alarm gesendet, die Freundin erhält die Benachrichtigung, sofortiges Handeln; innovativ, diskret, leicht, tragbar, einfach zu bedienen, immer dabei.
656|<strong>Vom Alarm zur Hilfe</strong>button4help™ mit AI help You in einer Infografik, auf Englisch.
657|Hochformatige Infografik button4help mit AI help You: kein GPS-Tracker, sondern ein intelligenter Notfallknopf; eine Hand drückt den Knopf neben einer Handtasche; die Schritte vom Alarm zur Hilfe; innovativ, diskret, leicht, tragbar, einfach zu bedienen, immer dabei.
658|Das Symbolbild des Projekts · Illustration
659|no pAIn: never oppressed protected by Artificial Intelligence nonviolence system, mit farbig hervorgehobenen Anfangsbuchstaben.
660|Illustration: Eine futuristisch wirkende Frau hebt die offene Hand mit der Aufschrift NO PAIN, umgeben von leuchtenden Schaltkreisen.
